Intensity,HKL,G-vector Length
9.075234e-06,-14 -22 -8,2.3689225601789405
9.8411565e-06,-14 -21 -9,2.3366993228846313
2.4500356e-05,-14 -21 -8,2.30492364898275
5.9786693e-05,-14 -20 -9,2.2748526204100057
1.0189953e-05,-14 -19 -10,2.2513321704580407
1.3074051e-05,-14 -18 -11,2.2345691573766704
7.985308e-05,-14 -17 -12,2.224716336224818
2.2351527e-05,-14 -16 -13,2.2218656382506126
0.00013083516,-14 -15 -14,2.226043964619466
4.9939947e-05,-14 -14 -15,2.2372119324296094
1.1378734e-05,-14 -11 -18,2.311323821191184
0.00065441115,-14 -10 -19,2.348852065460786
2.2503325e-05,-14 -9 -20,2.392332528023583
2.35163e-05,-13 -24 -4,2.3669682206892104
6.859573e-05,-13 -23 -5,2.3138039043114405
5.92023e-06,-13 -22 -6,2.266296348156571
7.262984e-05,-13 -22 -5,2.2451407142774067
6.561124e-06,-13 -21 -7,2.2248079575404893
2.2114102e-05,-13 -21 -6,2.199313357497876
7.5140466e-05,-13 -20 -7,2.15975978808705
6.0032842e-05,-13 -19 -8,2.126830063783608
0.00011871783,-13 -18 -9,2.100835685720442
6.6412917e-06,-13 -17 -10,2.082036435028432
4.215293e-05,-13 -16 -11,2.070628294837596
4.3434473e-05,-13 -15 -12,2.0667336630985913
5.491802e-05,-13 -14 -13,2.070394941356485
0.00028755373,-13 -13 -14,2.0815722597140005
0.0001500258,-13 -9 -18,2.1979948387890786
0.00029998494,-13 -8 -19,2.243633787317661
0.0003446595,-13 -7 -20,2.295182892941231
0.00010789723,-13 -6 -21,2.352253628483437
6.1440924e-06,-12 -25 -1,2.365943932968792
1.3523588e-05,-12 -24 -2,2.2984520104675354
2.7863369e-05,-12 -23 -3,2.235918888309546
2.4302044e-06,-12 -23 -2,2.2261939159708097
1.1571821e-05,-12 -22 -4,2.17877157728461
1.2801756e-05,-12 -22 -3,2.1647870033063668
4.6720543e-06,-12 -21 -5,2.1274441419397747
6.5049667e-06,-12 -21 -4,2.1090108743364975
3.0165305e-05,-12 -20 -5,2.0593231039984383
2.8892462e-05,-12 -19 -6,2.0161738777845164
0.00010370952,-12 -18 -7,1.9799907182778085
0.0001813293,-12 -17 -8,1.9511612090441468
3.8170314e-05,-12 -16 -9,1.9300149126619954
8.4697676e-05,-12 -15 -10,1.916806130708969
0.00010854763,-12 -14 -11,1.911699401725076
9.073278e-06,-12 -6 -19,2.150248815523074
6.649914e-05,-12 -5 -20,2.2102861693345157
1.43169655e-05,-12 -4 -21,2.275614337327668
3.300933e-05,-12 -3 -22,2.345791327965418
1.1535272e-05,-11 -26 1,2.398778645062407
8.5843806e-07,-11 -25 1,2.3236552038912563
2.923415e-06,-11 -24 0,2.247190721292756
2.4579407e-05,-11 -24 1,2.249115515361117
2.8001517e-05,-11 -23 -1,2.175228597036257
5.726322e-06,-11 -23 0,2.1732291688252787
1.5613214e-05,-11 -22 -2,2.108229930788176
3.330297e-05,-11 -22 -1,2.1020442714735217
1.857624e-05,-11 -21 -3,2.0466822208111934
1.0849782e-05,-11 -21 -2,2.0360540018484308
2.3248938e-05,-11 -20 -3,1.9757789243379686
0.00011018326,-11 -19 -4,1.9217568778281806
4.499649e-05,-11 -18 -5,1.874528558680411
5.5663226e-05,-11 -17 -6,1.8346187117065302
4.558068e-05,-11 -16 -7,1.8025135221644593
0.0008553354,-11 -15 -8,1.778635673215414
0.00062442466,-11 -14 -9,1.7633194261647263
6.120376e-05,-11 -3 -20,2.139101736604367
4.4790246e-05,-11 -2 -21,2.2128341426053577
1.7341103e-05,-11 -1 -22,2.291020367876045
1.951825e-06,-11 0 -23,2.373220257281762
9.487185e-06,-10 -26 3,2.375386712119386
6.809923e-06,-10 -26 4,2.38812983190882
1.6847e-05,-10 -25 2,2.290053396042993
4.2460133e-06,-10 -25 3,2.2994994511767963
3.6477531e-06,-10 -24 2,2.214382992636697
9.517999e-06,-10 -24 3,2.2241506235224127
6.4601827e-06,-10 -23 1,2.133201122820266
1.5514097e-05,-10 -23 2,2.139287754308188
4.3052045e-05,-10 -22 0,2.0564198751547225
1.8684703e-05,-10 -22 1,2.058523469761161
6.1413766e-06,-10 -21 -1,1.9845500889793157
2.3587994e-05,-10 -21 0,1.9823587807429859
1.8787594e-05,-10 -20 -2,1.9181439175961177
0.00030284573,-10 -20 -1,1.9113436310163674
0.00052744534,-10 -19 -2,1.8460723973537907
2.3012042e-05,-10 -18 -3,1.787174528948709
0.00046736345,-10 -17 -4,1.735299103261808
0.0005457098,-10 -16 -5,1.6910924986073812
7.515359e-05,-10 -15 -6,1.655169290470858
0.00018170028,-10 -14 -7,1.62807788560504
1.0600513e-05,-10 -1 -20,2.083035856539005
7.724303e-06,-10 0 -21,2.165118963013288
2.7573937e-05,-10 1 -22,2.2511558250327792
3.63309e-05,-10 2 -23,2.3407105018273864
1.1595611e-05,-9 -26 5,2.370111069758473
1.2917744e-05,-9 -26 6,2.390152304643742
1.038573e-05,-9 -25 4,2.2769740201480717
2.845532e-05,-9 -25 5,2.2940495531104492
1.6592607e-05,-9 -24 4,2.2008542307625563
4.2372274e-05,-9 -23 3,2.1109514485680054
2.6945818e-05,-9 -23 4,2.125281293853904
2.8770655e-05,-9 -22 2,2.024779832861836
3.2519096e-05,-9 -22 3,2.0354579432286997
1.9681947e-05,-9 -21 1,1.9428359182193882
0.00022650853,-9 -21 2,1.9495174222117173
8.934362e-06,-9 -20 0,1.8656768527506233
3.6506535e-05,-9 -20 1,1.8679957174918678
0.00024303953,-9 -19 0,1.7914961629419204
2.1203407e-05,-9 -18 -1,1.7206887235377626
0.000115299605,-9 -17 -2,1.6563035787533438
0.00013257067,-9 -16 -3,1.5991166583082612
0.00013922158,-9 -15 -4,1.5499249365609784
0.00023225488,-9 -14 -5,1.5095102554387805
0.00020645838,-9 -3 -15,1.6470565920548084
0.00026369223,-9 -2 -16,1.7166620487178195
0.00019228649,-9 -1 -17,1.7922952998297041
8.904915e-05,-9 0 -18,1.8732263542567313
4.9321984e-06,-9 1 -20,2.0433333968301777
0.00013452763,-9 1 -19,1.95879865912222
6.763813e-05,-9 2 -21,2.133479823248976
3.4736233e-05,-9 2 -20,2.0484306382894144
2.26437e-05,-9 3 -22,2.2269983435167027
2.2115833e-05,-9 3 -21,2.1416126290702695
8.918339e-06,-9 4 -23,2.323481820038306
1.0557915e-05,-9 4 -22,2.2379012280059403
8.413639e-06,-9 5 -23,2.336912458744324
9.855407e-06,-8 -26 7,2.3830720384919855
5.062294e-07,-8 -25 6,2.2828749915190047
1.306433e-05,-8 -25 7,2.3074380566035813
1.5453628e-05,-8 -24 5,2.1852379260323502
2.4272822e-05,-8 -24 6,2.2069590070557785
8.641824e-06,-8 -23 5,2.10910559545829
2.9195005e-05,-8 -23 6,2.1316027929823296
1.2370032e-05,-8 -22 4,2.014260521126559
7.986293e-05,-8 -22 5,2.0335438545850146
2.8595512e-05,-8 -21 3,1.9228689922486484
0.00012453903,-8 -21 4,1.9385900624416745
3.431319e-05,-8 -20 2,1.8354469635324129
0.00010858363,-8 -20 3,1.8472203258088837
8.6977794e-05,-8 -19 2,1.7599929301483197
8.302512e-05,-8 -18 1,1.6775541649882382
7.3509764e-05,-8 -17 0,1.6006440950359415
3.1401778e-05,-8 -16 -1,1.530096644556872
0.0002029882,-8 -15 -2,1.466830134883278
6.6110064e-05,-8 -14 -3,1.4118237240271605
0.0018349001,-8 -4 -12,1.3828464284597966
0.00022691682,-8 -3 -13,1.4423724960623296
0.00059844577,-8 -2 -14,1.5099249220729027
0.0016727491,-8 -1 -15,1.584477454368908
0.0001943187,-8 0 -16,1.6650900926726502
8.3790015e-05,-8 1 -17,1.7509260150664794
7.030105e-05,-8 2 -18,1.8412548666502624
7.245688e-05,-8 3 -20,2.0209589833707464
0.00011305115,-8 3 -19,1.9354476841022326
3.731794e-05,-8 4 -21,2.1186370711644376
0.00019650225,-8 4 -20,2.0329674547411827
8.590488e-05,-8 5 -22,2.2190609604885263
1.2364953e-05,-8 5 -21,2.133357983645435
9.2117425e-06,-8 6 -23,2.3218744009147048
6.763181e-06,-8 6 -22,2.2362326759390037
4.729005e-06,-8 7 -23,2.3412640935395657
2.4447792e-05,-7 -25 8,2.3076107063690166
4.120924e-06,-7 -25 9,2.339341536580575
1.3120563e-06,-7 -24 7,2.203205714280695
3.289588e-06,-7 -24 8,2.2325362660786063
3.844108e-05,-7 -23 7,2.127716666792826
2.0017873e-05,-7 -22 6,2.0251910846007752
7.949594e-06,-7 -22 7,2.0528403701117495
0.00015642736,-7 -21 5,1.9253260306638156
9.107245e-05,-7 -21 6,1.9499451499107878
4.4541608e-05,-7 -20 4,1.8285574641677607
0.00026577304,-7 -20 5,1.8497781678805145
0.00035392598,-7 -19 3,1.735403456082275
0.00022467817,-7 -19 4,1.7528072150926661
0.00027575926,-7 -18 3,1.659592623628205
0.00020904903,-7 -17 2,1.5708032657618576
0.00064706954,-7 -16 1,1.4872319265204776
0.000821267,-7 -15 0,1.40980686159567
0.0013021469,-7 -14 -1,1.3395942113003405
0.0012238242,-7 -4 -10,1.1837427805986234
0.00093618204,-7 -3 -11,1.2388393052108675
