Intensity,HKL,G-vector Length
5.8874295e-05,-14 -22 -9,2.3998511584797155
9.937032e-05,-14 -21 -9,2.336699322884632
2.4367591e-05,-14 -20 -10,2.3107994363901363
0.00035199616,-14 -19 -11,2.291437327329546
0.00011680871,-14 -18 -12,2.2787796504146907
0.00093726127,-14 -17 -13,2.2729384165471256
0.0004797156,-14 -11 -18,2.311323821191184
0.0030814752,-14 -10 -19,2.348852065460786
5.5746368e-05,-13 -24 -5,2.3834078049321263
0.00011500357,-13 -23 -6,2.334337509266977
8.838154e-05,-13 -22 -7,2.2910458594137433
8.8746136e-05,-13 -21 -8,2.2538658640011584
1.9212828e-05,-13 -21 -7,2.2248079575404893
5.7256315e-05,-13 -20 -8,2.189680898763535
0.00096162426,-13 -19 -9,2.1612253721190227
0.000532335,-13 -18 -10,2.1397075641261964
0.00065068615,-13 -17 -11,2.125338206279989
0.00061830453,-13 -13 -14,2.0815722597140005
0.003590389,-13 -12 -15,2.1001456168165835
6.272605e-05,-13 -5 -21,2.3359294998654163
3.538071e-05,-12 -25 -3,2.380573883508135
3.7114434e-05,-12 -25 -2,2.371441863854725
4.8540503e-05,-12 -24 -3,2.30787269077355
0.00054310885,-12 -23 -4,2.249461464484477
0.000248101,-12 -22 -5,2.1966196948469885
0.00011578569,-12 -21 -6,2.1497581183903995
4.4040487e-05,-12 -21 -5,2.127444141939775
0.0004432014,-12 -20 -6,2.0823669821554485
0.000683227,-12 -19 -7,2.0439536687203157
0.00057403714,-12 -18 -8,2.012585807260405
0.0012937472,-12 -17 -9,1.9885968277917776
0.00026827274,-12 -14 -11,1.9116994017250761
0.002096925,-12 -13 -12,1.914759552161907
0.0011150343,-12 -12 -13,1.925947653193421
0.00012007504,-12 -5 -19,2.132379103154958
6.990426e-05,-12 -4 -20,2.1960754560730784
0.00027385147,-12 -3 -21,2.2648873831093543
0.0003158073,-12 -2 -22,2.3383633138962874
5.5558365e-05,-11 -26 0,2.396974364076069
8.327148e-06,-11 -26 1,2.398778645062407
7.048292e-05,-11 -25 -1,2.323664312790212
4.476134e-05,-11 -25 0,2.3217923748257965
2.9827224e-05,-11 -24 -2,2.2549071500260194
6.193666e-05,-11 -24 -1,2.2491245754287847
2.9524306e-05,-11 -23 -2,2.1812069044460083
6.058458e-05,-11 -22 -3,2.1184962696249645
0.00040187745,-11 -21 -4,2.0614679257833655
2.1482676e-05,-11 -21 -3,2.046682220811194
6.100802e-05,-11 -20 -4,1.991091023812043
0.00016414087,-11 -19 -5,1.9419679444913256
0.000863981,-11 -18 -6,1.8998147830684877
0.00016749853,-11 -17 -7,1.8651041801213124
0.002532003,-11 -14 -9,1.7633194261647263
0.0025416329,-11 -13 -10,1.7567887236523565
0.0005123896,-11 -12 -11,1.759141415753998
0.0015408235,-11 -6 -16,1.874675515326307
0.0010049964,-11 -5 -17,1.9298072591776587
0.0013926439,-11 -4 -18,1.9912720827632637
0.0006521347,-11 -3 -19,2.058502766045417
0.0014047811,-11 -2 -20,2.1309536476065465
0.0001178137,-11 -1 -21,2.2081109435183244
5.9256363e-05,-11 0 -22,2.289498877424894
6.5759355e-05,-11 1 -23,2.374682496836376
0.00018924952,-10 -26 2,2.366243785344432
1.5210607e-05,-10 -26 3,2.3753867121193863
1.612581e-05,-10 -25 1,2.2843688557238306
9.376327e-06,-10 -25 2,2.2900533960429925
1.6407534e-05,-10 -24 0,2.2065432618753675
0.00019497923,-10 -24 1,2.208503511781104
8.069706e-05,-10 -23 0,2.1311714259011687
0.000266786,-10 -22 -1,2.0585325384390933
1.9869402e-05,-10 -21 -2,1.991100564324691
2.176337e-05,-10 -21 -1,1.984550088979316
0.00031258422,-10 -20 -3,1.9294215150926544
8.41363e-05,-10 -20 -2,1.9181439175961181
0.00015586441,-10 -19 -3,1.8577873402951377
0.0011289289,-10 -18 -4,1.8040876350991129
0.00062003155,-10 -17 -5,1.7576550482619913
0.0016612347,-10 -16 -6,1.719078538767482
0.0003977348,-10 -14 -7,1.6280778856050402
0.001616361,-10 -13 -8,1.6102641097910866
0.0023503753,-10 -12 -9,1.602037479328467
0.0050760293,-10 -6 -14,1.677159334027709
0.00035837258,-10 -5 -15,1.728558035574746
0.0022612922,-10 -4 -16,1.787238935674385
0.00033694715,-10 -3 -17,1.8525101414669016
0.00035574823,-10 -2 -18,1.9237009423222873
4.9410963e-05,-10 -1 -19,2.0001793636952465
0.00025607203,-10 0 -20,2.081362615840813
9.268589e-05,-10 1 -21,2.1667219181274344
0.00025210026,-10 2 -22,2.255783252569864
0.00035871536,-10 2 -21,2.1715294594574654
1.9414703e-05,-10 3 -23,2.3481254171918167
6.352992e-05,-10 3 -22,2.2634765721946506
0.00010583428,-10 4 -23,2.3584683319186595
4.3766354e-06,-9 -26 4,2.3535876036588936
0.00015762646,-9 -26 5,2.3701110697584724
3.9556366e-05,-9 -25 3,2.2636050243449266
1.3432489e-05,-9 -25 4,2.276974020148072
6.725379e-05,-9 -24 2,2.177085548293659
2.5399695e-05,-9 -24 3,2.1870197927942088
9.2685266e-05,-9 -23 1,2.094458388974423
7.299256e-05,-9 -23 2,2.100657311396768
0.00013398746,-9 -22 1,2.0183476870902344
0.00015529638,-9 -21 0,1.9406066866439033
0.00013845644,-9 -21 1,1.9428359182193884
9.813413e-05,-9 -20 -1,1.868004796224647
0.00012658366,-9 -20 0,1.8656768527506236
8.444372e-05,-9 -19 -1,1.7939201523095436
0.00071942934,-9 -18 -2,1.728238868629521
0.00052349013,-9 -17 -3,1.6693502752352856
0.0014471884,-9 -16 -4,1.6179962224990292
0.0009606411,-9 -14 -5,1.5095102554387805
0.00336771,-9 -13 -6,1.4785925043036292
0.006835123,-9 -12 -7,1.4577760652780767
0.0033287057,-9 -5 -13,1.529153724743741
0.0021963858,-9 -4 -14,1.5842736271115119
