Intensity,HKL,G-vector Length
0.00019989375,-18 -4 -3,2.2823515326377994
0.00034438758,-18 -3 -4,2.2714675222281278
0.00035572838,-18 -2 -5,2.270042172270241
2.7293938e-05,-18 -1 -6,2.2780932370249305
0.0001233402,-18 0 -7,2.29552100896881
0.00033558754,-17 -7 1,2.2566921718476918
0.00095855584,-17 -4 -3,2.1629099423703244
0.000563906,-17 -3 -4,2.1514218310804463
0.00096829055,-17 -2 -5,2.1499169623591996
0.00051626115,-17 -1 -6,2.1584162175482287
0.00019778826,-17 0 -7,2.1768024174590863
0.00087236316,-17 1 -8,2.204828232421149
8.760138e-05,-17 2 -9,2.2421322168088444
0.00093078124,-17 3 -10,2.2882606482147185
0.0005103413,-16 -8 2,2.197371183008049
0.001602511,-16 -7 1,2.142906694364925
0.010835728,-16 -6 0,2.0973193984081093
0.00021220208,-16 -5 -1,2.0611983869751658
0.0005274154,-16 -4 -2,2.035047786992783
0.00044848214,-16 -3 -3,2.0192550045906903
0.0033697102,-16 -2 -4,2.014063709302662
5.041537e-05,-16 1 -8,2.088219340735828
0.00011144582,-16 2 -9,2.1275689527336152
0.0008012085,-16 3 -10,2.176127260891232
0.00011046516,-16 4 -11,2.2332936743511964
0.00014122653,-16 5 -12,2.2984259808715364
0.0008279709,-15 -10 5,2.2417245745211476
0.00047158482,-15 -5 -1,1.9437770041055926
0.0072552827,-15 -4 -2,1.9160245397716007
0.0021832103,-15 -3 -3,1.8992423767569426
0.00036753505,-15 -2 -4,1.8937221939019657
0.0015881115,-15 -1 -5,1.8995621766684858
0.00013107258,-15 0 -6,1.9166584859403835
0.0007171073,-15 1 -7,1.9447142756122755
0.0005129067,-15 2 -8,1.983264492990836
0.00028604214,-15 3 -9,2.0317118540509984
0.0011185203,-15 4 -10,2.08936800013057
7.780906e-05,-15 5 -11,2.155494095420589
0.00043211156,-15 6 -12,2.229336565923043
0.0014806621,-14 -9 4,2.0611550913797005
0.0016141811,-14 -8 3,1.9885707969374389
0.002558283,-14 -7 2,1.9244630138013732
0.0014654478,-14 -2 -4,1.7737685864522903
0.0005577819,-14 -1 -5,1.7800022483355633
0.0051894807,-14 0 -6,1.7982356862267779
0.0007080371,-14 1 -7,1.828109880642968
0.0035805884,-14 2 -8,1.8690667354416564
0.0011017384,-14 3 -9,1.9203972924136665
0.0059041367,-14 4 -10,1.9812954431962129
0.00045479613,-14 5 -11,2.050909086014186
0.0064342213,-14 6 -12,2.1283832122778388
0.00027831263,-14 7 -13,2.212892381220074
0.0010330412,-13 -12 8,2.2555824717867763
0.0029795475,-13 -7 2,1.8149289802134105
0.0012311488,-13 -6 1,1.7567589886102033
0.021959634,-13 -5 0,1.709247687800725
0.0020475918,-13 -4 -1,1.67330324382242
0.0014105295,-13 -3 -2,1.6496819107531813
0.00045949244,-13 -2 -3,1.6389166058378404
0.00018914478,-13 3 -9,1.8106182898638084
0.00016087687,-13 4 -10,1.875085265941723
0.00040245987,-13 5 -11,1.9484972391202582
0.0005205259,-13 6 -12,2.0298839376949416
0.00023494205,-13 7 -13,2.118326387389276
0.0003209649,-13 8 -14,2.2129787933580856
0.013490319,-12 -10 6,1.9687874402825842
0.0015721964,-12 -4 -1,1.5558579809555406
0.001982851,-12 -3 -2,1.5304251070290074
0.00090590306,-12 -2 -3,1.518814844835134
0.0007864591,-12 -1 -4,1.5213436925637553
0.0023180272,-12 0 -5,1.537941904709212
0.00043027254,-12 1 -6,1.5681627935143734
0.0010333402,-12 2 -7,1.6112400085059129
0.000355516,-12 3 -8,1.66617668823045
0.0006196365,-12 4 -9,1.7318446007480504
0.00040922995,-12 5 -10,1.807074226262686
0.001045547,-12 6 -11,1.8907245623439501
0.0006224939,-12 7 -12,1.98172956162633
0.00018043688,-12 8 -13,2.079123688851093
0.0003155004,-12 9 -14,2.182051590821123
7.9524565e-05,-12 10 -15,2.289767138774888
0.0026594782,-11 -8 4,1.6933101506242494
0.0033713893,-11 -7 3,1.613065009825547
0.015052868,-11 -6 2,1.5426434322243725
0.016619122,-11 1 -6,1.4526618458370624
0.0076098666,-11 2 -7,1.4990618889292513
0.0031629286,-11 3 -8,1.5579593154747833
0.000748429,-11 4 -9,1.6279983058511764
0.00765246,-11 5 -10,1.7078086287342251
0.005121748,-11 6 -11,1.7960881699540738
0.0018487241,-11 7 -12,1.8916515771843398
0.0014799377,-11 8 -13,1.9934515890846594
0.0010982229,-11 9 -14,2.1005816718065105
0.0055993507,-11 10 -15,2.2122676273859456
0.005782679,-10 -5 1,1.3718742753832949
0.057732407,-10 -4 0,1.321359337066287
0.00146056,-10 -3 -1,1.2857031310497773
0.007695508,-10 -2 -2,1.2661615845046286
0.008194914,-10 -1 -3,1.2634826268312789
