Intensity,HKL,G-vector Length
2.1366845e-06,-18 -4 -3,2.2823515326377994
5.69222e-06,-18 -3 -4,2.2714675222281278
2.6900489e-05,-18 -2 -5,2.270042172270241
1.1098368e-06,-18 -1 -6,2.2780932370249305
1.9921442e-06,-18 0 -7,2.29552100896881
2.2268323e-06,-17 -7 1,2.2566921718476918
2.2360651e-05,-17 -4 -3,2.1629099423703244
0.00014789983,-17 -3 -4,2.1514218310804463
6.232029e-06,-17 -2 -5,2.1499169623591996
8.967181e-05,-17 -1 -6,2.1584162175482287
6.628802e-06,-17 0 -7,2.1768024174590863
0.00017198276,-17 1 -8,2.204828232421149
1.8488328e-05,-17 2 -9,2.2421322168088444
0.00015268417,-17 3 -10,2.2882606482147185
2.165812e-05,-16 -8 2,2.197371183008049
4.8691232e-05,-16 -7 1,2.142906694364925
0.0009173185,-16 -6 0,2.0973193984081093
5.8149635e-06,-16 -5 -1,2.0611983869751658
0.00017787734,-16 -4 -2,2.035047786992783
1.2160309e-05,-16 -3 -3,2.0192550045906903
0.0003486974,-16 -2 -4,2.014063709302662
5.742528e-06,-16 1 -8,2.088219340735828
3.3363751e-06,-16 2 -9,2.1275689527336152
1.9306526e-05,-16 3 -10,2.176127260891232
4.134625e-06,-16 4 -11,2.2332936743511964
1.8839504e-06,-16 5 -12,2.2984259808715364
3.1181073e-05,-15 -10 5,2.2417245745211476
1.0285718e-05,-15 -5 -1,1.9437770041055926
0.0001321546,-15 -4 -2,1.9160245397716007
5.988482e-05,-15 -3 -3,1.8992423767569426
2.0336827e-05,-15 -2 -4,1.8937221939019657
0.00021297575,-15 -1 -5,1.8995621766684858
1.2609188e-05,-15 0 -6,1.9166584859403835
0.00015848107,-15 1 -7,1.9447142756122755
4.238845e-06,-15 2 -8,1.983264492990836
4.45933e-05,-15 3 -9,2.0317118540509984
5.6971326e-06,-15 4 -10,2.08936800013057
8.162705e-06,-15 5 -11,2.155494095420589
3.8087464e-06,-15 6 -12,2.229336565923043
0.00015730914,-14 -9 4,2.0611550913797005
4.0035724e-05,-14 -8 3,1.9885707969374389
5.691007e-05,-14 -7 2,1.9244630138013732
0.00041813354,-14 -2 -4,1.7737685864522903
7.214858e-05,-14 -1 -5,1.7800022483355633
0.00034903522,-14 0 -6,1.7982356862267779
8.286941e-05,-14 1 -7,1.828109880642968
0.00084586284,-14 2 -8,1.8690667354416564
0.00022478562,-14 3 -9,1.9203972924136665
0.00024951436,-14 4 -10,1.9812954431962129
1.763045e-05,-14 5 -11,2.050909086014186
0.00034989827,-14 6 -12,2.1283832122778388
1.2200177e-05,-14 7 -13,2.212892381220074
3.2240765e-05,-13 -12 8,2.2555824717867763
0.0002513504,-13 -7 2,1.8149289802134105
5.032552e-05,-13 -6 1,1.7567589886102033
0.006119524,-13 -5 0,1.709247687800725
4.6192068e-05,-13 -4 -1,1.67330324382242
0.00039846066,-13 -3 -2,1.6496819107531813
2.4837562e-05,-13 -2 -3,1.6389166058378404
0.00010352035,-13 3 -9,1.8106182898638084
4.753372e-06,-13 4 -10,1.875085265941723
3.378019e-05,-13 5 -11,1.9484972391202582
3.4318757e-05,-13 6 -12,2.0298839376949416
1.159613e-05,-13 7 -13,2.118326387389276
2.2327853e-05,-13 8 -14,2.2129787933580856
0.0015551964,-12 -10 6,1.9687874402825842
0.00012877243,-12 -4 -1,1.5558579809555406
6.8884874e-05,-12 -3 -2,1.5304251070290074
6.8794085e-05,-12 -2 -3,1.518814844835134
0.00011163771,-12 -1 -4,1.5213436925637553
3.3489436e-05,-12 0 -5,1.537941904709212
0.0003889317,-12 1 -6,1.5681627935143734
2.8870276e-05,-12 2 -7,1.6112400085059129
4.1807634e-05,-12 3 -8,1.66617668823045
0.00024821708,-12 4 -9,1.7318446007480504
8.3156854e-05,-12 5 -10,1.807074226262686
8.235678e-05,-12 6 -11,1.8907245623439501
6.407903e-05,-12 7 -12,1.98172956162633
1.16339415e-05,-12 8 -13,2.079123688851093
3.985843e-05,-12 9 -14,2.182051590821123
2.244049e-06,-12 10 -15,2.289767138774888
0.00044099247,-11 -8 4,1.6933101506242494
0.0005832002,-11 -7 3,1.613065009825547
0.0029996613,-11 -6 2,1.5426434322243725
0.0026277355,-11 1 -6,1.4526618458370624
0.0010443403,-11 2 -7,1.4990618889292513
0.0010548421,-11 3 -8,1.5579593154747833
0.00017066013,-11 4 -9,1.6279983058511764
0.0014008795,-11 5 -10,1.7078086287342251
0.00012783337,-11 6 -11,1.7960881699540738
0.00031684423,-11 7 -12,1.8916515771843398
7.920529e-05,-11 8 -13,1.9934515890846594
0.00018112305,-11 9 -14,2.1005816718065105
1.0902377e-05,-11 10 -15,2.2122676273859456
0.00027584124,-10 -5 1,1.3718742753832949
0.011676058,-10 -4 0,1.321359337066287
5.3076743e-05,-10 -3 -1,1.2857031310497773
0.0008968961,-10 -2 -2,1.2661615845046286
0.00024891034,-10 -1 -3,1.2634826268312789
0.01998185,-10 0 -4,1.2777723239602556
5.5175065e-06,-10 9 -13,1.9744877271278258
0.00032688028,-10 10 -14,2.089454780942626
9.84068e-07,-10 11 -15,2.208196402491118
0.007554793,-9 -9 6,1.627413533396925
0.00058154546,-9 -1 -3,1.1437479181186494
0.00030501897,-9 0 -4,1.1595142751243432
0.0012150586,-9 1 -5,1.193263584284145
0.00014033944,-9 2 -6,1.2435325417074075
5.7104466e-05,-9 3 -7,1.3084184943423307
0.0006255181,-9 4 -8,1.3858698725832614
8.90113e-05,-9 5 -9,1.4739071288503782
0.0002593179,-9 6 -10,1.5707513229544363
3.2426713e-05,-9 7 -11,1.674875453875716
0.00020764659,-9 8 -12,1.7850060018870484
1.2058746e-05,-9 9 -13,1.9000988502957712
8.3336134e-05,-9 10 -14,2.0193056797728683
7.007486e-06,-9 11 -15,2.1419397258503206
2.5494212e-05,-9 12 -16,2.2674449769142475
0.0004936362,-8 -6 3,1.245482829067325
0.0005569557,-8 -5 2,1.1651710031439524
0.0014036071,-8 -4 1,1.0986855915040246
0.0023373032,-8 5 -9,1.38366001860494
0.0038923163,-8 6 -10,1.4863959202093608
0.00038405397,-8 7 -11,1.5960329537604694
0.00023282564,-8 8 -12,1.711245195963697
0.00019543059,-8 9 -13,1.83098050925547
0.0010550524,-8 10 -14,1.9544077627719192
2.5691057e-05,-8 11 -15,2.0808700955220583
0.00015915911,-8 12 -16,2.2098465057641334
0.00054272346,-7 -2 -1,0.8987798265886547
0.15834925,-7 -1 -2,0.8868842932261451
0.001094449,-7 0 -3,0.8991178431133889
0.008050253,-7 1 -4,0.9345333677208282
0.0022018263,-7 2 -5,0.9906477215981064
0.030006463,-7 3 -6,1.0641916061389194
0.0005548412,-7 4 -7,1.151831243798619
0.0036200113,-7 5 -8,1.2506067436048551
5.6901798e-05,-7 6 -9,1.3580905026743737
0.005785278,-7 7 -10,1.4723766410480212
3.2747466e-05,-7 8 -11,1.592000849905081
0.0008467422,-7 9 -12,1.7158470247776385
1.2290985e-05,-7 10 -13,1.8430642669541326
0.00031672636,-7 11 -14,1.9730005943114162
5.955381e-06,-7 12 -15,2.105152576781159
0.00028480726,-7 13 -16,2.2391279488337945
2.2824941e-05,-6 -14 13,2.1386292055817964
0.00021630831,-6 -13 12,2.0016183164686305
0.001692485,-6 3 -6,0.9671068491613162
0.0013610361,-6 4 -7,1.0627828507041934
0.0010451723,-6 5 -8,1.1691063643451187
0.0010627133,-6 6 -9,1.2834338969727728
9.2205126e-05,-6 7 -10,1.403811247280168
0.00031091057,-6 8 -11,1.5288100082832436
0.00042074462,-6 9 -12,1.6573848793231003
6.4601205e-05,-6 10 -13,1.7887648834701027
0.00012790873,-6 11 -14,1.922374976899122
3.6127508e-06,-6 12 -15,2.057780811608738
1.1155567e-05,-6 13 -16,2.1946500310499304
1.3667603e-05,-5 -15 15,2.2862552099987714
0.004114058,-5 -11 10,1.6835546715504393
0.06876195,-5 -3 1,0.7178401860110909
0.024316957,-5 -2 0,0.6606796685331435
1.0118915e-05,-5 13 -15,2.1036665140268003
1.2340396e-06,-5 14 -16,2.2441178818235734
0.00050928886,-4 -14 14,2.113199819484086
0.00017986298,-4 -13 13,1.9707586293455908
0.00095823605,-4 -8 7,1.230095449975697
0.22765869,-4 2 -4,0.6447378994408774
0.09421043,-4 3 -5,0.7431979601046804
0.033334818,-4 4 -6,0.8556225979818485
0.035893,-4 5 -7,0.9772038813859596
0.011525506,-4 6 -8,1.1049232528820667
0.0070314095,-4 7 -9,1.2368807287157149
0.0124243535,-4 8 -10,1.3718538744058255
0.0008791356,-4 9 -11,1.5090337112607384
0.0016082232,-4 10 -12,1.6478692314821488
6.7873276e-05,-4 11 -13,1.7879747872257328
0.0008904051,-4 12 -14,1.929073676350742
4.8914417e-06,-4 13 -15,2.0709628753719747
0.00022601848,-4 14 -16,2.2134904081322953
0.00017745343,-3 -15 16,2.2822028481960253
6.246363e-05,-3 -12 12,1.7997395125514153
0.0016221334,-3 -11 11,1.6563574035345332
4.137136e-06,-2 -15 16,2.265523018819308
5.07055e-05,-2 -14 15,2.119744127423121
2.633835e-05,-2 -13 14,1.9741140686481602
0.0013940831,-2 -9 9,1.3438205626337065
0.010756638,-2 -8 8,1.1998263417009434
0.39691615,-2 1 -2,0.3223689497204387
0.023092423,-2 2 -3,0.42781129899092424
0.025859142,-2 3 -4,0.5524616264410334
0.00052143296,-2 4 -5,0.6859269372029128
0.00048380988,-2 5 -6,0.8239346157410744
0.0006424629,-2 6 -7,0.964536838175371
0.00014882605,-2 7 -8,1.1067452040661476
0.00046438706,-2 8 -9,1.2500116617834498
8.899385e-05,-2 9 -10,1.3940100199822638
2.4661807e-05,-2 10 -11,1.5385347868580708
8.789221e-05,-2 11 -12,1.6834503907983127
1.768647e-05,-2 12 -13,1.8286639165059013
