tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.5,0.0,-17,-7,-5,1401.6949462890625
1,-1.4491525423728813,0.0,-17,-7,-5,1401.6949462890625
2,-1.3983050847457628,0.0,-17,-7,-5,1401.6949462890625
3,-1.347457627118644,0.0,-17,-7,-5,1401.6949462890625
4,-1.2966101694915255,0.0,-17,-7,-5,1401.6949462890625
5,-1.2457627118644068,1.0913893788710993e-08,-17,-7,-5,1401.6949462890625
6,-1.194915254237288,9.893415864326016e-09,-17,-7,-5,1401.6949462890625
7,-1.1440677966101696,2.773995220195502e-07,-17,-7,-5,1401.6949462890625
8,-1.0932203389830508,6.82123229012177e-08,-17,-7,-5,1401.6949462890625
9,-1.042372881355932,5.161122089702985e-07,-17,-7,-5,1401.6949462890625
10,-0.9915254237288136,1.8139478186185443e-07,-17,-7,-5,1401.6949462890625
11,-0.9406779661016949,8.388755645682977e-08,-17,-7,-5,1401.6949462890625
12,-0.8898305084745762,6.636458351749752e-07,-17,-7,-5,1401.6949462890625
13,-0.8389830508474576,4.025397970508493e-07,-17,-7,-5,1401.6949462890625
14,-0.7881355932203389,4.0757933561508253e-07,-17,-7,-5,1401.6949462890625
15,-0.7372881355932203,4.1769072822717135e-07,-17,-7,-5,1401.6949462890625
16,-0.6864406779661016,6.037508342160436e-07,-17,-7,-5,1401.6949462890625
17,-0.635593220338983,3.236130623918143e-06,-17,-7,-5,1401.6949462890625
18,-0.5847457627118644,4.49754370492883e-05,-17,-7,-5,1401.6949462890625
19,-0.5338983050847457,2.9168660375944455e-07,-17,-7,-5,1401.6949462890625
20,-0.48305084745762716,2.5540227852616226e-06,-17,-7,-5,1401.6949462890625
21,-0.43220338983050843,1.6106210409816413e-07,-17,-7,-5,1401.6949462890625
22,-0.3813559322033897,3.054570925087319e-07,-17,-7,-5,1401.6949462890625
23,-0.3305084745762712,2.1643838721274733e-08,-17,-7,-5,1401.6949462890625
24,-0.27966101694915246,6.0584151029274835e-09,-17,-7,-5,1401.6949462890625
25,-0.22881355932203373,1.1968658952810074e-07,-17,-7,-5,1401.6949462890625
26,-0.17796610169491522,1.1792726795079034e-08,-17,-7,-5,1401.6949462890625
27,-0.1271186440677965,1.3665729170497798e-07,-17,-7,-5,1401.6949462890625
28,-0.07627118644067776,9.067343853530474e-08,-17,-7,-5,1401.6949462890625
29,-0.025423728813559254,1.8471976659384381e-07,-17,-7,-5,1401.6949462890625
30,0.025423728813559476,5.056693339611229e-07,-17,-7,-5,1401.6949462890625
31,0.07627118644067798,1.723415188337185e-08,-17,-7,-5,1401.6949462890625
32,0.12711864406779672,8.513641347462908e-09,-17,-7,-5,1401.6949462890625
33,0.17796610169491545,0.0,-17,-7,-5,1401.6949462890625
34,0.22881355932203395,0.0,-17,-7,-5,1401.6949462890625
35,0.2796610169491527,0.0,-17,-7,-5,1401.6949462890625
36,0.3305084745762712,0.0,-17,-7,-5,1401.6949462890625
37,0.3813559322033899,0.0,-17,-7,-5,1401.6949462890625
38,0.43220338983050866,0.0,-17,-7,-5,1401.6949462890625
39,0.48305084745762716,0.0,-17,-7,-5,1401.6949462890625
40,0.5338983050847457,0.0,-17,-7,-5,1401.6949462890625
41,0.5847457627118646,0.0,-17,-7,-5,1401.6949462890625
42,0.6355932203389831,0.0,-17,-7,-5,1401.6949462890625
43,0.6864406779661016,0.0,-17,-7,-5,1401.6949462890625
44,0.7372881355932206,0.0,-17,-7,-5,1401.6949462890625
45,0.7881355932203391,0.0,-17,-7,-5,1401.6949462890625
46,0.8389830508474576,0.0,-17,-7,-5,1401.6949462890625
47,0.8898305084745766,0.0,-17,-7,-5,1401.6949462890625
48,0.9406779661016951,0.0,-17,-7,-5,1401.6949462890625
49,0.9915254237288136,0.0,-17,-7,-5,1401.6949462890625
50,1.0423728813559325,0.0,-17,-7,-5,1401.6949462890625
51,1.093220338983051,0.0,-17,-7,-5,1401.6949462890625
52,1.1440677966101696,0.0,-17,-7,-5,1401.6949462890625
53,1.1949152542372885,0.0,-17,-7,-5,1401.6949462890625
54,1.245762711864407,0.0,-17,-7,-5,1401.6949462890625
55,1.2966101694915255,0.0,-17,-7,-5,1401.6949462890625
56,1.3474576271186445,0.0,-17,-7,-5,1401.6949462890625
57,1.398305084745763,0.0,-17,-7,-5,1401.6949462890625
58,1.4491525423728815,0.0,-17,-7,-5,1401.6949462890625
59,1.5,0.0,-17,-7,-5,1401.6949462890625
0,-1.5,0.0,-17,-6,-7,1401.6949462890625
1,-1.4491525423728813,0.0,-17,-6,-7,1401.6949462890625
