Intensity,HKL,G-vector Length
4.8443246e-05,-17 -7 -5,2.2948111782074627
0.00014749276,-17 -6 -7,2.2920864134256242
4.8888378e-05,-17 -5 -8,2.2813829990526586
7.117902e-05,-16 -9 -1,2.2472218318984223
0.0002079229,-16 -8 -3,2.2055691950277736
7.311417e-05,-16 -7 -4,2.1680571722696045
0.0002086905,-16 -6 -6,2.1584818888439106
5.9638034e-05,-16 -5 -7,2.143741385521705
0.00022626107,-16 -4 -9,2.167542834681465
0.00011554558,-16 -3 -10,2.1761138846731884
0.0002937269,-16 -2 -12,2.232068345994544
5.0676914e-05,-16 -1 -13,2.262742900869745
0.00040942035,-15 -10 1,2.2026560513610582
0.0003249927,-15 -8 -2,2.087610635807691
0.00027995338,-15 -6 -5,2.027124055941661
0.0017364671,-15 -5 -7,2.0310984879121166
0.00021593079,-15 -4 -8,2.0260885950316734
0.00029270264,-15 -3 -10,2.065237704062628
0.00052085106,-15 -3 -9,2.0316986724367077
0.00011530538,-15 -2 -11,2.0845928468066712
0.0006356824,-15 -1 -12,2.1139863937543057
0.00095232244,-15 0 -14,2.1978873866278357
7.6313336e-05,-15 1 -15,2.2482808400365966
0.0006417945,-14 -12 5,2.2836669516889763
0.00040627128,-14 -10 2,2.105581897743357
0.0013728671,-14 -8 -1,1.973956634597803
0.0002495995,-14 -7 -3,1.9338204813281767
0.00101361,-14 -6 -4,1.8984793250759744
0.0012438738,-14 -5 -6,1.8951050779351322
0.00035668994,-14 -4 -7,1.8859034931589798
0.0009559561,-14 -3 -9,1.9203838533290098
0.00091053295,-14 -2 -10,1.937454388773482
0.00036641493,-14 -1 -12,2.007240473171589
0.00024407983,-14 -1 -11,1.9653690356708085
7.1243616e-05,-14 0 -13,2.0482959544328763
0.0011350884,-14 1 -14,2.0988351269452292
0.0014817341,-14 2 -16,2.209523118370708
2.6248963e-05,-14 3 -17,2.278646883377251
0.0005232472,-13 -12 6,2.210229614444741
0.0010084547,-13 -10 3,2.014959183572935
0.00044868278,-13 -8 0,1.8653941566492966
0.0016419889,-13 -7 -2,1.8149166916544892
0.00076031336,-13 -6 -3,1.7731383175482522
0.000896844,-13 -5 -5,1.7613317067166883
0.00042046848,-13 -4 -6,1.7472930240673497
0.0072043366,-13 -3 -8,1.7763292064887746
0.00013257592,-13 -2 -9,1.790736054266813
0.00044708577,-13 -1 -11,1.8582493922680645
