tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.5,0.0,-18,-4,-3,1645.7626953125
1,-1.4491525423728813,0.0,-18,-4,-3,1645.7626953125
2,-1.3983050847457628,0.0,-18,-4,-3,1645.7626953125
3,-1.347457627118644,0.0,-18,-4,-3,1645.7626953125
4,-1.2966101694915255,0.0,-18,-4,-3,1645.7626953125
5,-1.2457627118644068,0.0,-18,-4,-3,1645.7626953125
6,-1.194915254237288,0.0,-18,-4,-3,1645.7626953125
7,-1.1440677966101696,0.0,-18,-4,-3,1645.7626953125
8,-1.0932203389830508,0.0,-18,-4,-3,1645.7626953125
9,-1.042372881355932,0.0,-18,-4,-3,1645.7626953125
10,-0.9915254237288136,0.0,-18,-4,-3,1645.7626953125
11,-0.9406779661016949,0.0,-18,-4,-3,1645.7626953125
12,-0.8898305084745762,0.0,-18,-4,-3,1645.7626953125
13,-0.8389830508474576,0.0,-18,-4,-3,1645.7626953125
14,-0.7881355932203389,0.0,-18,-4,-3,1645.7626953125
15,-0.7372881355932203,0.0,-18,-4,-3,1645.7626953125
16,-0.6864406779661016,0.0,-18,-4,-3,1645.7626953125
17,-0.635593220338983,0.0,-18,-4,-3,1645.7626953125
18,-0.5847457627118644,0.0,-18,-4,-3,1645.7626953125
19,-0.5338983050847457,3.4259628023392e-08,-18,-4,-3,1645.7626953125
20,-0.48305084745762716,9.962911207139769e-08,-18,-4,-3,1645.7626953125
21,-0.43220338983050843,3.503934067339287e-07,-18,-4,-3,1645.7626953125
22,-0.3813559322033897,2.3416390604324988e-07,-18,-4,-3,1645.7626953125
23,-0.3305084745762712,4.743683490460171e-08,-18,-4,-3,1645.7626953125
24,-0.27966101694915246,1.5526646279795386e-07,-18,-4,-3,1645.7626953125
25,-0.22881355932203373,1.7150803444110352e-07,-18,-4,-3,1645.7626953125
26,-0.17796610169491522,9.339116786577506e-07,-18,-4,-3,1645.7626953125
27,-0.1271186440677965,8.303351251015556e-07,-18,-4,-3,1645.7626953125
28,-0.07627118644067776,6.351444881147472e-06,-18,-4,-3,1645.7626953125
29,-0.025423728813559254,1.3526035218092147e-05,-18,-4,-3,1645.7626953125
30,0.025423728813559476,8.119748963508755e-05,-18,-4,-3,1645.7626953125
31,0.07627118644067798,0.00033011630875989795,-18,-4,-3,1645.7626953125
32,0.12711864406779672,0.000938280310947448,-18,-4,-3,1645.7626953125
33,0.17796610169491545,2.5080291834456148e-06,-18,-4,-3,1645.7626953125
34,0.22881355932203395,5.881019660591846e-06,-18,-4,-3,1645.7626953125
35,0.2796610169491527,1.4677008948638104e-05,-18,-4,-3,1645.7626953125
36,0.3305084745762712,4.372517196316039e-06,-18,-4,-3,1645.7626953125
37,0.3813559322033899,1.4507870673696743e-06,-18,-4,-3,1645.7626953125
38,0.43220338983050866,7.746573828626424e-06,-18,-4,-3,1645.7626953125
39,0.48305084745762716,1.0637762670739903e-06,-18,-4,-3,1645.7626953125
40,0.5338983050847457,7.228952654259047e-07,-18,-4,-3,1645.7626953125
41,0.5847457627118646,1.4662978387036674e-08,-18,-4,-3,1645.7626953125
42,0.6355932203389831,4.913981115350907e-07,-18,-4,-3,1645.7626953125
43,0.6864406779661016,1.334278287856705e-08,-18,-4,-3,1645.7626953125
44,0.7372881355932206,4.796767711923167e-07,-18,-4,-3,1645.7626953125
45,0.7881355932203391,2.0335860995146504e-07,-18,-4,-3,1645.7626953125
46,0.8389830508474576,0.0,-18,-4,-3,1645.7626953125
47,0.8898305084745766,0.0,-18,-4,-3,1645.7626953125
48,0.9406779661016951,0.0,-18,-4,-3,1645.7626953125
49,0.9915254237288136,0.0,-18,-4,-3,1645.7626953125
50,1.0423728813559325,0.0,-18,-4,-3,1645.7626953125
