Intensity,HKL,G-vector Length
0.00110276,-17 -7 -1,2.256686140749944
0.00048472546,-17 -6 -2,2.2199690499936064
0.009010156,-17 -5 -3,2.1924833867902582
0.0006361579,-17 -4 -4,2.1745792220837052
0.00043145882,-17 -3 -6,2.184775196321785
0.0050168172,-17 -2 -7,2.189908830428089
0.0010476229,-17 -1 -8,2.204824094129976
0.0005104675,-17 0 -9,2.2293246645274327
0.00033855363,-17 1 -10,2.2630992481616343
0.002413861,-16 -9 2,2.252053554620044
0.004495219,-16 -8 1,2.19242539509064
0.0003021998,-16 -7 0,2.1412154460831454
0.0010168001,-16 -5 -3,2.075180655743171
0.0015006604,-16 -4 -4,2.056255440401219
0.0040349183,-16 -3 -5,2.0477032723843793
0.00062575913,-16 -2 -6,2.0496540002236725
0.0064222855,-16 -1 -7,2.062077816882098
0.0011609346,-16 0 -9,2.114067614677919
0.0009856474,-16 1 -10,2.149653906337356
0.00016796221,-16 2 -11,2.194500519019772
0.00081888307,-16 3 -12,2.2480533161537273
0.003755203,-15 -10 4,2.2271557344021344
0.049799006,-15 -7 0,2.0284313820318283
0.0012794101,-15 -6 -1,1.9838596747011716
0.002344166,-15 -5 -2,1.9493473573338467
0.01737318,-15 -2 -6,1.9315314837298596
0.00080802484,-15 -1 -7,1.944710149437718
0.0015019797,-15 0 -8,1.9687741951167472
0.0013576918,-15 1 -9,2.003331393138501
0.001208866,-15 2 -10,2.0478506008632626
0.0017310396,-15 3 -12,2.140905913676918
0.00079937244,-15 3 -11,2.101698853195417
0.001931569,-15 4 -13,2.2055566597337077
0.00083033385,-15 4 -12,2.1641798975443245
0.0012690219,-15 5 -14,2.2778438929653957
0.011345616,-14 -9 3,2.0488338174155514
0.003869834,-14 -8 2,1.9794542186583648
0.012066908,-14 -5 -2,1.8330374010249464
0.010708542,-14 -4 -3,1.807587587914481
0.002706825,-14 -3 -4,1.7938255867708601
0.00217271,-14 -2 -5,1.7920206909715848
0.00084938825,-14 -1 -6,1.8022088256725022
0.0032976673,-14 0 -8,1.8536841403836024
0.0008903723,-14 1 -9,1.890346534931733
0.0010492207,-14 2 -10,1.9374637352199013
0.0006567432,-14 3 -11,1.994294863304125
0.00069597707,-14 4 -12,2.060036128725735
0.0010296875,-14 5 -13,2.133864165042971
0.00084847683,-14 6 -14,2.214970489961183
0.015229831,-13 -10 5,2.0434788525346894
0.0034017987,-13 -7 1,1.8089384997692188
0.003002921,-13 -6 0,1.754696248773116
0.1274484,-13 -5 -1,1.7113590880685166
0.0043621943,-13 -2 -5,1.6738429287927554
0.018850407,-13 -1 -6,1.6847459556779336
0.0013517428,-13 0 -7,1.708238359662353
0.001927996,-13 1 -8,1.7438114075254312
0.01960319,-13 2 -9,1.790745300134793
0.0032800713,-13 3 -10,1.8481747234065837
0.007524337,-13 4 -12,1.9581019387245575
0.0018141893,-13 5 -13,2.035630348584476
0.0029518253,-13 6 -14,2.120497395203438
0.0002957367,-13 7 -15,2.211858508900627
0.011833744,-12 -12 8,2.1698847111959
0.034342013,-12 -8 3,1.7792054364427767
0.0834235,-12 -4 -2,1.5628123464966794
0.015478868,-12 -3 -3,1.5421915803009147
0.043574847,-12 -2 -4,1.5353885122941147
0.005932869,-12 1 -8,1.6314506482889548
0.0021256516,-12 2 -9,1.6815237176987836
0.002035207,-12 3 -10,1.74255656490966
0.00086954085,-12 4 -11,1.8134429475395952
0.004484516,-12 5 -12,1.89307628990423
0.00054118584,-12 6 -13,1.9804017087851542
0.0010391987,-12 7 -14,2.074448020622807
0.0019338189,-12 8 -16,2.2253029316665582
0.0007041481,-12 8 -15,2.174343309074657
0.00050242426,-12 9 -16,2.2793186777005765
0.011932777,-11 -10 6,1.8780873426999478
0.027063102,-11 -6 1,1.5355916555479638
0.13105938,-11 -5 0,1.4810023050832983
0.021242227,-11 -2 -4,1.4172189380884064
0.0039774384,-11 -1 -5,1.4250134720757281
0.009637267,-11 0 -6,1.4477250588641963
0.030712415,-11 1 -7,1.484669279629132
