tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.5,0.0,-17,-7,-1,344.06781005859375
1,-1.4491525423728813,0.0,-17,-7,-1,344.06781005859375
2,-1.3983050847457628,0.0,-17,-7,-1,344.06781005859375
3,-1.347457627118644,0.0,-17,-7,-1,344.06781005859375
4,-1.2966101694915255,0.0,-17,-7,-1,344.06781005859375
5,-1.2457627118644068,0.0,-17,-7,-1,344.06781005859375
6,-1.194915254237288,0.0,-17,-7,-1,344.06781005859375
7,-1.1440677966101696,0.0,-17,-7,-1,344.06781005859375
8,-1.0932203389830508,0.0,-17,-7,-1,344.06781005859375
9,-1.042372881355932,0.0,-17,-7,-1,344.06781005859375
10,-0.9915254237288136,0.0,-17,-7,-1,344.06781005859375
11,-0.9406779661016949,0.0,-17,-7,-1,344.06781005859375
12,-0.8898305084745762,0.0,-17,-7,-1,344.06781005859375
13,-0.8389830508474576,0.0,-17,-7,-1,344.06781005859375
14,-0.7881355932203389,0.0,-17,-7,-1,344.06781005859375
15,-0.7372881355932203,0.0,-17,-7,-1,344.06781005859375
16,-0.6864406779661016,0.0,-17,-7,-1,344.06781005859375
17,-0.635593220338983,0.0,-17,-7,-1,344.06781005859375
18,-0.5847457627118644,0.0,-17,-7,-1,344.06781005859375
19,-0.5338983050847457,0.0,-17,-7,-1,344.06781005859375
20,-0.48305084745762716,0.0,-17,-7,-1,344.06781005859375
21,-0.43220338983050843,0.0,-17,-7,-1,344.06781005859375
22,-0.3813559322033897,0.0,-17,-7,-1,344.06781005859375
23,-0.3305084745762712,0.0,-17,-7,-1,344.06781005859375
24,-0.27966101694915246,0.0,-17,-7,-1,344.06781005859375
25,-0.22881355932203373,1.0473370615216027e-08,-17,-7,-1,344.06781005859375
26,-0.17796610169491522,4.531135910923467e-09,-17,-7,-1,344.06781005859375
27,-0.1271186440677965,1.1444403646976298e-08,-17,-7,-1,344.06781005859375
28,-0.07627118644067776,3.2162894569864875e-08,-17,-7,-1,344.06781005859375
29,-0.025423728813559254,2.1141541850511203e-08,-17,-7,-1,344.06781005859375
30,0.025423728813559476,1.2117548742196504e-08,-17,-7,-1,344.06781005859375
31,0.07627118644067798,8.77372414720412e-08,-17,-7,-1,344.06781005859375
32,0.12711864406779672,8.773918835913719e-08,-17,-7,-1,344.06781005859375
33,0.17796610169491545,4.985689727732279e-08,-17,-7,-1,344.06781005859375
34,0.22881355932203395,2.263727694185036e-08,-17,-7,-1,344.06781005859375
35,0.2796610169491527,1.0697022645445031e-07,-17,-7,-1,344.06781005859375
36,0.3305084745762712,5.304225396685069e-07,-17,-7,-1,344.06781005859375
37,0.3813559322033899,7.916796675999649e-07,-17,-7,-1,344.06781005859375
38,0.43220338983050866,2.159496716558351e-06,-17,-7,-1,344.06781005859375
39,0.48305084745762716,6.41180213278858e-06,-17,-7,-1,344.06781005859375
40,0.5338983050847457,9.71107238001423e-06,-17,-7,-1,344.06781005859375
41,0.5847457627118646,6.6709876591630746e-06,-17,-7,-1,344.06781005859375
42,0.6355932203389831,2.260829205624759e-06,-17,-7,-1,344.06781005859375
43,0.6864406779661016,3.6329464592199656e-07,-17,-7,-1,344.06781005859375
44,0.7372881355932206,9.372600828783106e-08,-17,-7,-1,344.06781005859375
45,0.7881355932203391,1.7149073272548776e-09,-17,-7,-1,344.06781005859375
46,0.8389830508474576,6.021794973776196e-08,-17,-7,-1,344.06781005859375
47,0.8898305084745766,1.5576384271298593e-07,-17,-7,-1,344.06781005859375
48,0.9406779661016951,3.9772965010342887e-07,-17,-7,-1,344.06781005859375
49,0.9915254237288136,3.2140280836756574e-07,-17,-7,-1,344.06781005859375
50,1.0423728813559325,2.8642048732763215e-07,-17,-7,-1,344.06781005859375
51,1.093220338983051,7.409921209955428e-08,-17,-7,-1,344.06781005859375
52,1.1440677966101696,9.211632345795806e-08,-17,-7,-1,344.06781005859375
53,1.1949152542372885,4.525450236769757e-08,-17,-7,-1,344.06781005859375
54,1.245762711864407,3.239998136450595e-07,-17,-7,-1,344.06781005859375
55,1.2966101694915255,1.7602698676455475e-07,-17,-7,-1,344.06781005859375
56,1.3474576271186445,3.7199134883536544e-09,-17,-7,-1,344.06781005859375
57,1.398305084745763,3.044261376317081e-08,-17,-7,-1,344.06781005859375
58,1.4491525423728815,0.0,-17,-7,-1,344.06781005859375
59,1.5,0.0,-17,-7,-1,344.06781005859375
0,-1.5,0.0,-17,-6,-2,344.06781005859375
1,-1.4491525423728813,0.0,-17,-6,-2,344.06781005859375
2,-1.3983050847457628,0.0,-17,-6,-2,344.06781005859375
3,-1.347457627118644,0.0,-17,-6,-2,344.06781005859375
4,-1.2966101694915255,0.0,-17,-6,-2,344.06781005859375
5,-1.2457627118644068,0.0,-17,-6,-2,344.06781005859375
6,-1.194915254237288,0.0,-17,-6,-2,344.06781005859375
7,-1.1440677966101696,0.0,-17,-6,-2,344.06781005859375
8,-1.0932203389830508,0.0,-17,-6,-2,344.06781005859375
9,-1.042372881355932,0.0,-17,-6,-2,344.06781005859375
10,-0.9915254237288136,0.0,-17,-6,-2,344.06781005859375
11,-0.9406779661016949,0.0,-17,-6,-2,344.06781005859375
12,-0.8898305084745762,0.0,-17,-6,-2,344.06781005859375
13,-0.8389830508474576,0.0,-17,-6,-2,344.06781005859375
14,-0.7881355932203389,0.0,-17,-6,-2,344.06781005859375
15,-0.7372881355932203,1.2801960735941975e-07,-17,-6,-2,344.06781005859375
16,-0.6864406779661016,1.318796307714365e-07,-17,-6,-2,344.06781005859375
17,-0.635593220338983,7.143393077058136e-08,-17,-6,-2,344.06781005859375
18,-0.5847457627118644,5.060235608311814e-08,-17,-6,-2,344.06781005859375
19,-0.5338983050847457,1.8290943870624687e-08,-17,-6,-2,344.06781005859375
20,-0.48305084745762716,1.0359304525309199e-07,-17,-6,-2,344.06781005859375
21,-0.43220338983050843,2.3597918641371507e-07,-17,-6,-2,344.06781005859375
22,-0.3813559322033897,5.018084152652591e-07,-17,-6,-2,344.06781005859375
23,-0.3305084745762712,5.983308142276655e-07,-17,-6,-2,344.06781005859375
24,-0.27966101694915246,3.113978550572938e-07,-17,-6,-2,344.06781005859375
25,-0.22881355932203373,1.0348310297558783e-07,-17,-6,-2,344.06781005859375
26,-0.17796610169491522,4.647393438972358e-07,-17,-6,-2,344.06781005859375
27,-0.1271186440677965,5.731942565034842e-08,-17,-6,-2,344.06781005859375
28,-0.07627118644067776,2.99927887681406e-06,-17,-6,-2,344.06781005859375
29,-0.025423728813559254,1.967585922102444e-05,-17,-6,-2,344.06781005859375
30,0.025423728813559476,3.199002821929753e-05,-17,-6,-2,344.06781005859375
31,0.07627118644067798,1.4399261090147775e-05,-17,-6,-2,344.06781005859375
32,0.12711864406779672,6.11903601566155e-07,-17,-6,-2,344.06781005859375
33,0.17796610169491545,3.3136964248114964e-06,-17,-6,-2,344.06781005859375
34,0.22881355932203395,1.2239294164828607e-06,-17,-6,-2,344.06781005859375
35,0.2796610169491527,1.3984146285395127e-08,-17,-6,-2,344.06781005859375
36,0.3305084745762712,2.7985697670374066e-07,-17,-6,-2,344.06781005859375
37,0.3813559322033899,5.749330398430175e-07,-17,-6,-2,344.06781005859375
38,0.43220338983050866,8.209751740650972e-07,-17,-6,-2,344.06781005859375
39,0.48305084745762716,5.85440886879951e-07,-17,-6,-2,344.06781005859375
40,0.5338983050847457,9.804078899833257e-07,-17,-6,-2,344.06781005859375
41,0.5847457627118646,3.9433319898307673e-07,-17,-6,-2,344.06781005859375
42,0.6355932203389831,7.727972040072473e-09,-17,-6,-2,344.06781005859375
43,0.6864406779661016,3.395519598825558e-08,-17,-6,-2,344.06781005859375
44,0.7372881355932206,7.458002215798842e-08,-17,-6,-2,344.06781005859375
45,0.7881355932203391,3.923425992979901e-07,-17,-6,-2,344.06781005859375
46,0.8389830508474576,0.0,-17,-6,-2,344.06781005859375
47,0.8898305084745766,0.0,-17,-6,-2,344.06781005859375
48,0.9406779661016951,0.0,-17,-6,-2,344.06781005859375
49,0.9915254237288136,0.0,-17,-6,-2,344.06781005859375
50,1.0423728813559325,0.0,-17,-6,-2,344.06781005859375
51,1.093220338983051,0.0,-17,-6,-2,344.06781005859375
52,1.1440677966101696,0.0,-17,-6,-2,344.06781005859375
53,1.1949152542372885,0.0,-17,-6,-2,344.06781005859375
54,1.245762711864407,0.0,-17,-6,-2,344.06781005859375
55,1.2966101694915255,0.0,-17,-6,-2,344.06781005859375
56,1.3474576271186445,0.0,-17,-6,-2,344.06781005859375
57,1.398305084745763,0.0,-17,-6,-2,344.06781005859375
58,1.4491525423728815,0.0,-17,-6,-2,344.06781005859375
59,1.5,0.0,-17,-6,-2,344.06781005859375
0,-1.5,0.0,-17,-5,-3,344.06781005859375
1,-1.4491525423728813,0.0,-17,-5,-3,344.06781005859375
2,-1.3983050847457628,0.0,-17,-5,-3,344.06781005859375
3,-1.347457627118644,0.0,-17,-5,-3,344.06781005859375
4,-1.2966101694915255,0.0,-17,-5,-3,344.06781005859375
5,-1.2457627118644068,0.0,-17,-5,-3,344.06781005859375
6,-1.194915254237288,0.0,-17,-5,-3,344.06781005859375
7,-1.1440677966101696,4.7833829341925593e-08,-17,-5,-3,344.06781005859375
8,-1.0932203389830508,2.4324585012891475e-08,-17,-5,-3,344.06781005859375
9,-1.042372881355932,6.271820041092724e-08,-17,-5,-3,344.06781005859375
10,-0.9915254237288136,4.273723774872451e-08,-17,-5,-3,344.06781005859375
11,-0.9406779661016949,5.786133350227374e-09,-17,-5,-3,344.06781005859375
12,-0.8898305084745762,2.9431058479190142e-08,-17,-5,-3,344.06781005859375
13,-0.8389830508474576,5.452708506936688e-09,-17,-5,-3,344.06781005859375
14,-0.7881355932203389,6.9667009938712e-08,-17,-5,-3,344.06781005859375
15,-0.7372881355932203,1.704288763448858e-07,-17,-5,-3,344.06781005859375
16,-0.6864406779661016,3.14217430741337e-07,-17,-5,-3,344.06781005859375
17,-0.635593220338983,5.433467435977946e-07,-17,-5,-3,344.06781005859375
18,-0.5847457627118644,1.9394201444811188e-07,-17,-5,-3,344.06781005859375
19,-0.5338983050847457,1.9119991065963404e-06,-17,-5,-3,344.06781005859375
20,-0.48305084745762716,2.0292767658247612e-05,-17,-5,-3,344.06781005859375
21,-0.43220338983050843,4.596167491399683e-05,-17,-5,-3,344.06781005859375
22,-0.3813559322033897,3.766357258427888e-05,-17,-5,-3,344.06781005859375
23,-0.3305084745762712,1.2424583474057727e-05,-17,-5,-3,344.06781005859375
24,-0.27966101694915246,4.371266015823494e-07,-17,-5,-3,344.06781005859375
25,-0.22881355932203373,1.0315584404452238e-06,-17,-5,-3,344.06781005859375
26,-0.17796610169491522,6.348948886625294e-07,-17,-5,-3,344.06781005859375
27,-0.1271186440677965,2.1731509036726493e-07,-17,-5,-3,344.06781005859375
28,-0.07627118644067776,1.0347610412964059e-07,-17,-5,-3,344.06781005859375
29,-0.025423728813559254,2.7023647319879274e-08,-17,-5,-3,344.06781005859375
30,0.025423728813559476,1.3802847753652259e-08,-17,-5,-3,344.06781005859375
31,0.07627118644067798,9.61225978812763e-08,-17,-5,-3,344.06781005859375
32,0.12711864406779672,2.2120505427380976e-09,-17,-5,-3,344.06781005859375
33,0.17796610169491545,1.2067476973243174e-07,-17,-5,-3,344.06781005859375
34,0.22881355932203395,1.124857789136513e-07,-17,-5,-3,344.06781005859375
35,0.2796610169491527,1.984488662287731e-08,-17,-5,-3,344.06781005859375
36,0.3305084745762712,0.0,-17,-5,-3,344.06781005859375
37,0.3813559322033899,0.0,-17,-5,-3,344.06781005859375
38,0.43220338983050866,0.0,-17,-5,-3,344.06781005859375
39,0.48305084745762716,0.0,-17,-5,-3,344.06781005859375
