Intensity,HKL,G-vector Length
0.00092355977,-17 -7 -1,2.256686140749944
0.00051236415,-17 -6 -2,2.2199690499936064
0.006879132,-17 -5 -3,2.1924833867902582
0.00039577635,-17 -4 -4,2.1745792220837052
0.0005489774,-17 -3 -6,2.184775196321785
0.0051133423,-17 -2 -7,2.189908830428089
0.0006629609,-17 -1 -8,2.204824094129976
0.00052085734,-17 0 -9,2.2293246645274327
0.00032070803,-17 1 -10,2.2630992481616343
0.0019431121,-16 -9 2,2.252053554620044
0.0056697484,-16 -8 1,2.19242539509064
0.00053249474,-16 -7 0,2.1412154460831454
0.0009611561,-16 -5 -3,2.075180655743171
0.0015252128,-16 -4 -4,2.056255440401219
0.0041650883,-16 -3 -5,2.0477032723843793
0.00054663303,-16 -2 -6,2.0496540002236725
0.004893129,-16 -1 -7,2.062077816882098
0.0008021699,-16 0 -9,2.114067614677919
0.00073881616,-16 1 -10,2.149653906337356
0.00010557231,-16 2 -11,2.194500519019772
0.0008755471,-16 3 -12,2.2480533161537273
0.004113014,-15 -10 4,2.2271557344021344
0.04262405,-15 -7 0,2.0284313820318283
0.0010719234,-15 -6 -1,1.9838596747011716
0.002480529,-15 -5 -2,1.9493473573338467
0.01621348,-15 -2 -6,1.9315314837298596
0.0009378864,-15 -1 -7,1.944710149437718
0.001309533,-15 0 -8,1.9687741951167472
0.001180032,-15 1 -9,2.003331393138501
0.0011244984,-15 2 -10,2.0478506008632626
0.0023277104,-15 3 -12,2.140905913676918
0.00047364144,-15 3 -11,2.101698853195417
0.0019680602,-15 4 -13,2.2055566597337077
0.0009995835,-15 4 -12,2.1641798975443245
0.0015036482,-15 5 -14,2.2778438929653957
0.011753988,-14 -9 3,2.0488338174155514
0.0030457503,-14 -8 2,1.9794542186583648
0.0090422,-14 -5 -2,1.8330374010249464
0.0106018,-14 -4 -3,1.807587587914481
0.0033445458,-14 -3 -4,1.7938255867708601
0.0029525708,-14 -2 -5,1.7920206909715848
0.00076676096,-14 -1 -6,1.8022088256725022
0.0021549736,-14 0 -8,1.8536841403836024
0.0008425712,-14 1 -9,1.890346534931733
0.00093401934,-14 2 -10,1.9374637352199013
0.000601745,-14 3 -11,1.994294863304125
0.0009060133,-14 4 -12,2.060036128725735
0.0010828826,-14 5 -13,2.133864165042971
0.000719803,-14 6 -14,2.214970489961183
0.015786948,-13 -10 5,2.0434788525346894
0.0038073238,-13 -7 1,1.8089384997692188
0.0038472142,-13 -6 0,1.754696248773116
0.11121182,-13 -5 -1,1.7113590880685166
0.004694604,-13 -2 -5,1.6738429287927554
0.0144944,-13 -1 -6,1.6847459556779336
0.0011876802,-13 0 -7,1.708238359662353
0.0017387955,-13 1 -8,1.7438114075254312
0.018866323,-13 2 -9,1.790745300134793
0.0026646312,-13 3 -10,1.8481747234065837
0.006430686,-13 4 -12,1.9581019387245575
0.0027115254,-13 5 -13,2.035630348584476
0.0029966577,-13 6 -14,2.120497395203438
0.00023988678,-13 7 -15,2.211858508900627
0.012040695,-12 -12 8,2.1698847111959
0.033663966,-12 -8 3,1.7792054364427767
0.0669104,-12 -4 -2,1.5628123464966794
0.018168703,-12 -3 -3,1.5421915803009147
0.031139359,-12 -2 -4,1.5353885122941147
0.004382124,-12 1 -8,1.6314506482889548
0.003129769,-12 2 -9,1.6815237176987836
0.0029647993,-12 3 -10,1.74255656490966
0.0009643101,-12 4 -11,1.8134429475395952
0.004456369,-12 5 -12,1.89307628990423
0.00048621275,-12 6 -13,1.9804017087851542
0.0015932278,-12 7 -14,2.074448020622807
0.0018980999,-12 8 -16,2.2253029316665582
0.00054357934,-12 8 -15,2.174343309074657
0.0006359228,-12 9 -16,2.2793186777005765
0.009911598,-11 -10 6,1.8780873426999478
0.026171815,-11 -6 1,1.5355916555479638
0.14057659,-11 -5 0,1.4810023050832983
0.018624192,-11 -2 -4,1.4172189380884064
0.0034204114,-11 -1 -5,1.4250134720757281
0.012246711,-11 0 -6,1.4477250588641963
0.02582454,-11 1 -7,1.484669279629132
0.0020934031,-11 2 -8,1.5348187081967557
0.0008041371,-11 4 -11,1.7145463878691396
0.014382437,-11 5 -12,1.7985639054572526
0.0009517299,-11 6 -13,1.8902606966281936
0.0014880602,-11 7 -14,1.9885747292385285
0.0006194054,-11 8 -15,2.0925735302875257
0.0046315584,-11 9 -16,2.2014515845003353
0.009026251,-10 -8 4,1.5964736317734003
0.027037447,-10 -4 -1,1.3240902776319692
0.047551133,-10 -3 -2,1.2941107354184678
0.012291869,-10 -2 -3,1.280359598345823
0.0056880433,-10 1 -7,1.3731990038059219
0.017710436,-10 2 -8,1.4272706091179455
0.015085987,-10 3 -9,1.493860051208068
0.04106778,-10 4 -10,1.5713767488683166
0.01309866,-10 5 -11,1.6582890262308545
0.0049618557,-10 6 -12,1.7532001242004627
0.015763482,-10 7 -13,1.8548825919234042
0.001320897,-10 8 -14,1.9622840664617296
0.0015967803,-10 9 -16,2.1278685700354187
0.008112499,-10 10 -17,2.2446471024129395
0.12106575,-9 -10 7,1.7362146766572666
0.1499905,-9 -6 2,1.3315207960432733
0.14550678,-9 -5 1,1.2624614123158242
0.012339233,-9 -1 -4,1.165667596958316
0.032450456,-9 0 -5,1.1872491268819028
0.21859993,-9 1 -6,1.22614461027655
0.035598837,-9 2 -7,1.2807776132817719
0.010265403,-9 5 -11,1.5689794194081137
0.0036404093,-9 6 -12,1.668977198749919
0.0023275428,-9 7 -13,1.775489773193064
0.0024908562,-9 8 -14,1.8874145153686603
0.006419721,-9 9 -15,2.0038447405626516
0.00045268633,-9 10 -16,2.124039667492585
0.00067689666,-9 11 -17,2.247395347336233
0.060431004,-8 -3 -1,1.0520995253666392
0.14028345,-8 -2 -2,1.0281277202006096
0.005359836,-8 2 -7,1.1757992433648556
0.011521269,-8 3 -8,1.2500221653467092
0.0054082084,-8 4 -9,1.3362999440110408
0.049542055,-8 5 -10,1.432456016851782
0.011673402,-8 6 -11,1.5366370792776547
0.0028492918,-8 7 -12,1.647321267983928
0.001036458,-8 8 -13,1.763284372935494
0.0008080269,-8 9 -15,1.9384295081634004
0.027162902,-8 10 -16,2.0624403054057288
0.0019874414,-8 11 -17,2.1892696594870804
0.023273012,-7 -13 12,2.0502901936646483
0.5250627,-7 -5 2,1.063048869096794
0.029385116,-7 0 -4,0.9268420701918012
0.029468441,-7 1 -5,0.9687318676099507
0.09121173,-7 2 -6,1.0300180643628676
0.008870506,-7 6 -11,1.4607215235129634
0.006501795,-7 7 -12,1.5767439570955428
0.0033636028,-7 8 -13,1.697535335881323
0.006425488,-7 9 -14,1.8221474968397173
0.0009762716,-7 10 -15,1.9498480344011186
0.0021447535,-7 11 -16,2.080068217059645
0.0008936119,-7 12 -17,2.2123631689509304
0.0031012886,-6 -14 14,2.1838092613727476
0.03685281,-6 -11 10,1.732405730932763
0.6000236,-6 -3 0,0.8215396019700884
0.15183422,-6 -2 -1,0.7814061732483397
0.024215886,-6 3 -7,1.0145521503096147
0.05587113,-6 4 -8,1.1126514658332791
0.011763645,-6 5 -9,1.2205576907664601
0.49861678,-6 6 -10,1.3358964937084346
0.006659327,-6 7 -11,1.4569036964264146
0.0014299059,-6 11 -16,2.0321120106274364
0.0016275138,-6 12 -17,2.16733627245226
0.003444604,-5 -13 13,2.0050994806149527
0.34725502,-5 -9 8,1.4147342287899536
0.034212966,-5 0 -3,0.6665846138714064
0.22047569,-5 1 -4,0.7136353045589727
0.070813715,-5 2 -5,0.7856883744341583
0.029409755,-5 7 -11,1.3984642177540867
0.008659229,-5 8 -12,1.5286405630115278
0.0017466644,-5 9 -13,1.6615872973680856
0.023607124,-5 10 -14,1.7966895380145351
0.00068695727,-5 11 -15,1.9334954922605627
0.0033798874,-5 12 -16,2.071667665075186
0.019221172,-5 13 -17,2.2109499279245015
0.0056166714,-4 -14 15,2.1622593035872666
0.037977643,-4 -11 11,1.6881094429332981
0.6728165,-4 -2 0,0.5476930679800589
0.030245064,-4 4 -7,0.9089071014438513
0.07847967,-4 5 -8,1.0312201527028644
0.018456405,-4 6 -9,1.1592275276972597
0.03417077,-4 7 -10,1.2912368070756077
0.0037200218,-4 8 -11,1.4261371239357195
0.0065227724,-4 12 -16,2.0384509516952307
0.0008674651,-4 13 -17,2.1798567022124504
0.004580859,-3 -12 13,1.8492924430325284
0.25767833,-3 -8 8,1.2310304195790551
0.20495297,-3 1 -3,0.46468522149943287
0.34393096,-3 2 -4,0.5563257329166396
0.08429493,-3 8 -11,1.3884094553768243
0.008392248,-3 9 -12,1.528838213771423
0.0025752783,-3 10 -13,1.6703599388577741
0.0031046176,-3 11 -14,1.8127186599522898
0.0012454549,-3 12 -15,1.9557316094706427
0.0006684119,-3 13 -16,2.0992650832544144
0.0012167175,-3 14 -17,2.243219165530827
0.0022125463,-2 -14 16,2.1719877514431523
0.012067293,-2 -13 15,2.026542990918768
0.014517687,-2 -10 11,1.5385393615292098
0.27950916,-2 -6 6,0.9145020839995087
1.5581653,-2 -1 0,0.27384653399002945
0.06306705,-2 5 -7,0.8791427761000876
0.12824781,-2 6 -8,1.0192254758476154
0.021135027,-2 7 -9,1.1609649838861436
0.20663819,-2 8 -10,1.3038210729804285
0.002667543,-2 14 -17,2.2262497197822455
0.0044032503,-1 -14 17,2.2160088794666137
0.0035471607,-1 -12 14,1.8691703673431068
0.0068861097,-1 -11 13,1.7231729457337668
0.052454624,-1 -8 9,1.2316768152815747
0.12560521,-1 -7 8,1.0859938757215761
1.0973294,-1 -3 3,0.45725104199975436
0.6756726,-1 3 -4,0.5096127379238077
0.021150913,-1 10 -12,1.5773187519484113
0.0023684176,-1 11 -13,1.723170378187723
0.0017088476,-1 12 -14,1.8691678449578228
0.021059265,-1 13 -15,2.0152794561375478
0.0010396908,-1 14 -16,2.1614820640895807
0.00197481,0 -13 16,2.0664946584266093
0.021221705,0 -12 15,1.920513353374818
0.022762414,0 -10 12,1.5725038998673462
0.04192257,0 -9 11,1.4263509704787078
0.13360584,0 -5 6,0.7862519499336731
0.43677998,0 6 -7,0.9325533608537255
0.026700838,0 7 -8,1.0789856283796284
0.043710835,0 8 -9,1.225501846185925
0.122484125,0 9 -10,1.372075120795347
