tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.5,0.0,-17,-7,-1,2459.322021484375
1,-1.4491525423728813,0.0,-17,-7,-1,2459.322021484375
2,-1.3983050847457628,0.0,-17,-7,-1,2459.322021484375
3,-1.347457627118644,0.0,-17,-7,-1,2459.322021484375
4,-1.2966101694915255,0.0,-17,-7,-1,2459.322021484375
5,-1.2457627118644068,0.0,-17,-7,-1,2459.322021484375
6,-1.194915254237288,0.0,-17,-7,-1,2459.322021484375
7,-1.1440677966101696,0.0,-17,-7,-1,2459.322021484375
8,-1.0932203389830508,0.0,-17,-7,-1,2459.322021484375
9,-1.042372881355932,0.0,-17,-7,-1,2459.322021484375
10,-0.9915254237288136,0.0,-17,-7,-1,2459.322021484375
11,-0.9406779661016949,0.0,-17,-7,-1,2459.322021484375
12,-0.8898305084745762,0.0,-17,-7,-1,2459.322021484375
13,-0.8389830508474576,0.0,-17,-7,-1,2459.322021484375
14,-0.7881355932203389,0.0,-17,-7,-1,2459.322021484375
15,-0.7372881355932203,0.0,-17,-7,-1,2459.322021484375
16,-0.6864406779661016,0.0,-17,-7,-1,2459.322021484375
17,-0.635593220338983,0.0,-17,-7,-1,2459.322021484375
18,-0.5847457627118644,0.0,-17,-7,-1,2459.322021484375
19,-0.5338983050847457,0.0,-17,-7,-1,2459.322021484375
20,-0.48305084745762716,0.0,-17,-7,-1,2459.322021484375
21,-0.43220338983050843,0.0,-17,-7,-1,2459.322021484375
22,-0.3813559322033897,0.0,-17,-7,-1,2459.322021484375
23,-0.3305084745762712,0.0,-17,-7,-1,2459.322021484375
24,-0.27966101694915246,0.0,-17,-7,-1,2459.322021484375
25,-0.22881355932203373,5.44989063655521e-07,-17,-7,-1,2459.322021484375
26,-0.17796610169491522,4.00660752575277e-07,-17,-7,-1,2459.322021484375
27,-0.1271186440677965,1.0587323231447954e-06,-17,-7,-1,2459.322021484375
28,-0.07627118644067776,4.534021869062599e-08,-17,-7,-1,2459.322021484375
29,-0.025423728813559254,7.947458158241716e-08,-17,-7,-1,2459.322021484375
30,0.025423728813559476,5.644878342536686e-07,-17,-7,-1,2459.322021484375
31,0.07627118644067798,2.3405462457048998e-07,-17,-7,-1,2459.322021484375
32,0.12711864406779672,1.9908784452127293e-06,-17,-7,-1,2459.322021484375
33,0.17796610169491545,1.2578043424582575e-06,-17,-7,-1,2459.322021484375
34,0.22881355932203395,3.6712955875373154e-07,-17,-7,-1,2459.322021484375
35,0.2796610169491527,8.039730232667353e-07,-17,-7,-1,2459.322021484375
36,0.3305084745762712,2.1370033209677786e-07,-17,-7,-1,2459.322021484375
37,0.3813559322033899,2.622068450364168e-06,-17,-7,-1,2459.322021484375
38,0.43220338983050866,7.309923148568487e-06,-17,-7,-1,2459.322021484375
39,0.48305084745762716,1.1408207001295523e-06,-17,-7,-1,2459.322021484375
40,0.5338983050847457,0.00048378840438090265,-17,-7,-1,2459.322021484375
41,0.5847457627118646,0.0005661556497216225,-17,-7,-1,2459.322021484375
42,0.6355932203389831,2.2511840143124573e-05,-17,-7,-1,2459.322021484375
43,0.6864406779661016,1.4194861250871327e-05,-17,-7,-1,2459.322021484375
44,0.7372881355932206,7.519916493947676e-07,-17,-7,-1,2459.322021484375
45,0.7881355932203391,4.198755050310865e-06,-17,-7,-1,2459.322021484375
46,0.8389830508474576,2.712023842832423e-06,-17,-7,-1,2459.322021484375
47,0.8898305084745766,1.3485800081980415e-05,-17,-7,-1,2459.322021484375
48,0.9406779661016951,5.625053745461628e-06,-17,-7,-1,2459.322021484375
49,0.9915254237288136,1.3885626685805619e-05,-17,-7,-1,2459.322021484375
50,1.0423728813559325,1.710355661543872e-07,-17,-7,-1,2459.322021484375
51,1.093220338983051,5.255447831586935e-06,-17,-7,-1,2459.322021484375
52,1.1440677966101696,2.5152432954200776e-06,-17,-7,-1,2459.322021484375
53,1.1949152542372885,1.392742774442013e-07,-17,-7,-1,2459.322021484375
54,1.245762711864407,7.050726367197058e-07,-17,-7,-1,2459.322021484375
55,1.2966101694915255,2.601612550279242e-06,-17,-7,-1,2459.322021484375
56,1.3474576271186445,9.840033499131096e-08,-17,-7,-1,2459.322021484375
57,1.398305084745763,8.947733931563562e-08,-17,-7,-1,2459.322021484375
58,1.4491525423728815,0.0,-17,-7,-1,2459.322021484375
59,1.5,0.0,-17,-7,-1,2459.322021484375
0,-1.5,0.0,-17,-6,-2,2459.322021484375
1,-1.4491525423728813,0.0,-17,-6,-2,2459.322021484375
2,-1.3983050847457628,0.0,-17,-6,-2,2459.322021484375
3,-1.347457627118644,0.0,-17,-6,-2,2459.322021484375
4,-1.2966101694915255,0.0,-17,-6,-2,2459.322021484375
5,-1.2457627118644068,0.0,-17,-6,-2,2459.322021484375
6,-1.194915254237288,0.0,-17,-6,-2,2459.322021484375
7,-1.1440677966101696,0.0,-17,-6,-2,2459.322021484375
8,-1.0932203389830508,0.0,-17,-6,-2,2459.322021484375
9,-1.042372881355932,0.0,-17,-6,-2,2459.322021484375
10,-0.9915254237288136,0.0,-17,-6,-2,2459.322021484375
11,-0.9406779661016949,0.0,-17,-6,-2,2459.322021484375
12,-0.8898305084745762,0.0,-17,-6,-2,2459.322021484375
13,-0.8389830508474576,0.0,-17,-6,-2,2459.322021484375
14,-0.7881355932203389,0.0,-17,-6,-2,2459.322021484375
15,-0.7372881355932203,3.2447612738906173e-06,-17,-6,-2,2459.322021484375
16,-0.6864406779661016,2.5537112833262654e-06,-17,-6,-2,2459.322021484375
17,-0.635593220338983,5.713706059395918e-07,-17,-6,-2,2459.322021484375
18,-0.5847457627118644,5.149826733941154e-07,-17,-6,-2,2459.322021484375
19,-0.5338983050847457,9.76466935753706e-07,-17,-6,-2,2459.322021484375
20,-0.48305084745762716,3.721131349720963e-07,-17,-6,-2,2459.322021484375
21,-0.43220338983050843,7.518557936236903e-07,-17,-6,-2,2459.322021484375
22,-0.3813559322033897,1.4126831956673414e-05,-17,-6,-2,2459.322021484375
23,-0.3305084745762712,9.181460427498678e-07,-17,-6,-2,2459.322021484375
24,-0.27966101694915246,6.396550702447712e-07,-17,-6,-2,2459.322021484375
25,-0.22881355932203373,9.265751259590616e-07,-17,-6,-2,2459.322021484375
26,-0.17796610169491522,9.353918528631766e-08,-17,-6,-2,2459.322021484375
27,-0.1271186440677965,1.6969797798083164e-05,-17,-6,-2,2459.322021484375
28,-0.07627118644067776,9.92641525954241e-06,-17,-6,-2,2459.322021484375
29,-0.025423728813559254,1.7779897461878136e-05,-17,-6,-2,2459.322021484375
30,0.025423728813559476,0.00030485738534480333,-17,-6,-2,2459.322021484375
31,0.07627118644067798,3.812724753515795e-05,-17,-6,-2,2459.322021484375
32,0.12711864406779672,6.762074917787686e-05,-17,-6,-2,2459.322021484375
33,0.17796610169491545,1.1988899132120423e-05,-17,-6,-2,2459.322021484375
34,0.22881355932203395,2.5079982606257545e-06,-17,-6,-2,2459.322021484375
35,0.2796610169491527,1.701673909337842e-06,-17,-6,-2,2459.322021484375
36,0.3305084745762712,1.757659475742912e-07,-17,-6,-2,2459.322021484375
37,0.3813559322033899,2.4039259187702555e-06,-17,-6,-2,2459.322021484375
38,0.43220338983050866,3.231110099477519e-07,-17,-6,-2,2459.322021484375
39,0.48305084745762716,4.77392222819617e-06,-17,-6,-2,2459.322021484375
40,0.5338983050847457,4.4220055315236095e-06,-17,-6,-2,2459.322021484375
41,0.5847457627118646,4.4752600842912216e-06,-17,-6,-2,2459.322021484375
42,0.6355932203389831,5.456500275613507e-06,-17,-6,-2,2459.322021484375
43,0.6864406779661016,2.887747427848808e-07,-17,-6,-2,2459.322021484375
44,0.7372881355932206,3.883309886987263e-07,-17,-6,-2,2459.322021484375
45,0.7881355932203391,3.5184837088308996e-07,-17,-6,-2,2459.322021484375
46,0.8389830508474576,0.0,-17,-6,-2,2459.322021484375
47,0.8898305084745766,0.0,-17,-6,-2,2459.322021484375
48,0.9406779661016951,0.0,-17,-6,-2,2459.322021484375
49,0.9915254237288136,0.0,-17,-6,-2,2459.322021484375
50,1.0423728813559325,0.0,-17,-6,-2,2459.322021484375
51,1.093220338983051,0.0,-17,-6,-2,2459.322021484375
52,1.1440677966101696,0.0,-17,-6,-2,2459.322021484375
53,1.1949152542372885,0.0,-17,-6,-2,2459.322021484375
54,1.245762711864407,0.0,-17,-6,-2,2459.322021484375
55,1.2966101694915255,0.0,-17,-6,-2,2459.322021484375
56,1.3474576271186445,0.0,-17,-6,-2,2459.322021484375
57,1.398305084745763,0.0,-17,-6,-2,2459.322021484375
58,1.4491525423728815,0.0,-17,-6,-2,2459.322021484375
59,1.5,0.0,-17,-6,-2,2459.322021484375
0,-1.5,0.0,-17,-5,-3,2459.322021484375
1,-1.4491525423728813,0.0,-17,-5,-3,2459.322021484375
2,-1.3983050847457628,0.0,-17,-5,-3,2459.322021484375
3,-1.347457627118644,0.0,-17,-5,-3,2459.322021484375
4,-1.2966101694915255,0.0,-17,-5,-3,2459.322021484375
5,-1.2457627118644068,0.0,-17,-5,-3,2459.322021484375
6,-1.194915254237288,0.0,-17,-5,-3,2459.322021484375
7,-1.1440677966101696,4.038442114051577e-07,-17,-5,-3,2459.322021484375
8,-1.0932203389830508,5.934360913784076e-08,-17,-5,-3,2459.322021484375
9,-1.042372881355932,3.437978080000903e-08,-17,-5,-3,2459.322021484375
10,-0.9915254237288136,8.386840733010104e-08,-17,-5,-3,2459.322021484375
11,-0.9406779661016949,1.2964599136466859e-06,-17,-5,-3,2459.322021484375
12,-0.8898305084745762,1.614261719851129e-07,-17,-5,-3,2459.322021484375
13,-0.8389830508474576,1.8060565309951926e-07,-17,-5,-3,2459.322021484375
14,-0.7881355932203389,1.4319633692139178e-06,-17,-5,-3,2459.322021484375
15,-0.7372881355932203,1.5846540009079035e-06,-17,-5,-3,2459.322021484375
16,-0.6864406779661016,4.8492191126570106e-05,-17,-5,-3,2459.322021484375
17,-0.635593220338983,1.3270922636365867e-06,-17,-5,-3,2459.322021484375
18,-0.5847457627118644,7.217535085146665e-07,-17,-5,-3,2459.322021484375
19,-0.5338983050847457,2.6030220396933146e-05,-17,-5,-3,2459.322021484375
20,-0.48305084745762716,0.0001885280362330377,-17,-5,-3,2459.322021484375
