tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.5,0.0,-17,-7,-1,2133.898193359375
1,-1.4491525423728813,0.0,-17,-7,-1,2133.898193359375
2,-1.3983050847457628,0.0,-17,-7,-1,2133.898193359375
3,-1.347457627118644,0.0,-17,-7,-1,2133.898193359375
4,-1.2966101694915255,0.0,-17,-7,-1,2133.898193359375
5,-1.2457627118644068,0.0,-17,-7,-1,2133.898193359375
6,-1.194915254237288,0.0,-17,-7,-1,2133.898193359375
7,-1.1440677966101696,0.0,-17,-7,-1,2133.898193359375
8,-1.0932203389830508,0.0,-17,-7,-1,2133.898193359375
9,-1.042372881355932,0.0,-17,-7,-1,2133.898193359375
10,-0.9915254237288136,0.0,-17,-7,-1,2133.898193359375
11,-0.9406779661016949,0.0,-17,-7,-1,2133.898193359375
12,-0.8898305084745762,0.0,-17,-7,-1,2133.898193359375
13,-0.8389830508474576,0.0,-17,-7,-1,2133.898193359375
14,-0.7881355932203389,0.0,-17,-7,-1,2133.898193359375
15,-0.7372881355932203,0.0,-17,-7,-1,2133.898193359375
16,-0.6864406779661016,0.0,-17,-7,-1,2133.898193359375
17,-0.635593220338983,0.0,-17,-7,-1,2133.898193359375
18,-0.5847457627118644,0.0,-17,-7,-1,2133.898193359375
19,-0.5338983050847457,0.0,-17,-7,-1,2133.898193359375
20,-0.48305084745762716,0.0,-17,-7,-1,2133.898193359375
21,-0.43220338983050843,0.0,-17,-7,-1,2133.898193359375
22,-0.3813559322033897,0.0,-17,-7,-1,2133.898193359375
23,-0.3305084745762712,0.0,-17,-7,-1,2133.898193359375
24,-0.27966101694915246,0.0,-17,-7,-1,2133.898193359375
25,-0.22881355932203373,1.232771182912984e-07,-17,-7,-1,2133.898193359375
26,-0.17796610169491522,1.0125016380868601e-08,-17,-7,-1,2133.898193359375
27,-0.1271186440677965,2.1481852741089824e-08,-17,-7,-1,2133.898193359375
28,-0.07627118644067776,5.676491721118282e-09,-17,-7,-1,2133.898193359375
29,-0.025423728813559254,2.980399571583803e-08,-17,-7,-1,2133.898193359375
