tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.0,0.0,-3,-6,7,181.35592651367188
1,-0.9512195121951219,0.0,-3,-6,7,181.35592651367188
2,-0.9024390243902439,0.0,-3,-6,7,181.35592651367188
3,-0.8536585365853658,0.0,-3,-6,7,181.35592651367188
4,-0.8048780487804879,0.0,-3,-6,7,181.35592651367188
5,-0.7560975609756098,0.0,-3,-6,7,181.35592651367188
6,-0.7073170731707317,0.0,-3,-6,7,181.35592651367188
7,-0.6585365853658536,0.0,-3,-6,7,181.35592651367188
8,-0.6097560975609756,0.0,-3,-6,7,181.35592651367188
9,-0.5609756097560976,0.0,-3,-6,7,181.35592651367188
10,-0.5121951219512195,0.0,-3,-6,7,181.35592651367188
11,-0.46341463414634143,0.0,-3,-6,7,181.35592651367188
12,-0.41463414634146334,0.0,-3,-6,7,181.35592651367188
13,-0.36585365853658536,0.0,-3,-6,7,181.35592651367188
14,-0.31707317073170727,0.0,-3,-6,7,181.35592651367188
15,-0.2682926829268293,3.4627662444108864e-06,-3,-6,7,181.35592651367188
16,-0.2195121951219512,3.0909711767890258e-06,-3,-6,7,181.35592651367188
17,-0.1707317073170731,9.159704745798081e-07,-3,-6,7,181.35592651367188
18,-0.12195121951219512,1.2867899101820512e-07,-3,-6,7,181.35592651367188
19,-0.07317073170731703,6.635468707827386e-07,-3,-6,7,181.35592651367188
20,-0.024390243902439046,4.922822540720517e-07,-3,-6,7,181.35592651367188
21,0.024390243902439046,8.445016419500462e-07,-3,-6,7,181.35592651367188
22,0.07317073170731714,4.416625415615272e-06,-3,-6,7,181.35592651367188
23,0.12195121951219523,7.690521670156159e-06,-3,-6,7,181.35592651367188
24,0.17073170731707332,3.915195065928856e-06,-3,-6,7,181.35592651367188
25,0.2195121951219512,9.610810138838133e-07,-3,-6,7,181.35592651367188
26,0.2682926829268293,2.3067019355949014e-05,-3,-6,7,181.35592651367188
27,0.3170731707317074,8.207651262637228e-05,-3,-6,7,181.35592651367188
28,0.36585365853658547,0.00015093971160240471,-3,-6,7,181.35592651367188
29,0.41463414634146356,0.00018021826690528542,-3,-6,7,181.35592651367188
30,0.46341463414634143,0.00014415400801226497,-3,-6,7,181.35592651367188
31,0.5121951219512195,7.329137588385493e-05,-3,-6,7,181.35592651367188
32,0.5609756097560976,1.6600768503849395e-05,-3,-6,7,181.35592651367188
33,0.6097560975609757,1.543433469919364e-08,-3,-6,7,181.35592651367188
34,0.6585365853658538,5.435360890260199e-06,-3,-6,7,181.35592651367188
35,0.7073170731707317,8.240972420026083e-06,-3,-6,7,181.35592651367188
36,0.7560975609756098,3.5252392081019934e-06,-3,-6,7,181.35592651367188
37,0.8048780487804879,1.2613608646461216e-07,-3,-6,7,181.35592651367188
38,0.853658536585366,1.2139953469159082e-06,-3,-6,7,181.35592651367188
39,0.902439024390244,2.277971589137451e-06,-3,-6,7,181.35592651367188
40,0.9512195121951219,1.1533802535268478e-06,-3,-6,7,181.35592651367188
41,1.0,1.14325608535637e-07,-3,-6,7,181.35592651367188
0,-1.0,3.361042217875365e-06,-3,-5,8,181.35592651367188
1,-0.9512195121951219,6.510161711048568e-06,-3,-5,8,181.35592651367188
2,-0.9024390243902439,1.9551338482415304e-05,-3,-5,8,181.35592651367188
3,-0.8536585365853658,4.014746082248166e-05,-3,-5,8,181.35592651367188
4,-0.8048780487804879,5.681403126800433e-05,-3,-5,8,181.35592651367188
5,-0.7560975609756098,5.96709105593618e-05,-3,-5,8,181.35592651367188
6,-0.7073170731707317,4.49141844001133e-05,-3,-5,8,181.35592651367188
7,-0.6585365853658536,2.3741129552945495e-05,-3,-5,8,181.35592651367188
8,-0.6097560975609756,7.294126135093393e-06,-3,-5,8,181.35592651367188
9,-0.5609756097560976,7.703051778662484e-07,-3,-5,8,181.35592651367188
10,-0.5121951219512195,1.3055012004770106e-06,-3,-5,8,181.35592651367188
11,-0.46341463414634143,2.7266494271316333e-06,-3,-5,8,181.35592651367188
12,-0.41463414634146334,2.147057557522203e-06,-3,-5,8,181.35592651367188
13,-0.36585365853658536,4.886157398686919e-07,-3,-5,8,181.35592651367188
14,-0.31707317073170727,8.921524141669579e-08,-3,-5,8,181.35592651367188
15,-0.2682926829268293,1.3557951206166763e-06,-3,-5,8,181.35592651367188
16,-0.2195121951219512,2.4511180072295247e-06,-3,-5,8,181.35592651367188
17,-0.1707317073170731,2.2709850782121066e-06,-3,-5,8,181.35592651367188
18,-0.12195121951219512,1.1202433825019398e-06,-3,-5,8,181.35592651367188
19,-0.07317073170731703,2.6250901896673895e-07,-3,-5,8,181.35592651367188
20,-0.024390243902439046,9.307971993166575e-08,-3,-5,8,181.35592651367188
21,0.024390243902439046,1.2041675745422253e-07,-3,-5,8,181.35592651367188
22,0.07317073170731714,0.0,-3,-5,8,181.35592651367188
23,0.12195121951219523,0.0,-3,-5,8,181.35592651367188
24,0.17073170731707332,0.0,-3,-5,8,181.35592651367188
25,0.2195121951219512,0.0,-3,-5,8,181.35592651367188
26,0.2682926829268293,0.0,-3,-5,8,181.35592651367188
27,0.3170731707317074,0.0,-3,-5,8,181.35592651367188
28,0.36585365853658547,0.0,-3,-5,8,181.35592651367188
29,0.41463414634146356,0.0,-3,-5,8,181.35592651367188
30,0.46341463414634143,0.0,-3,-5,8,181.35592651367188
31,0.5121951219512195,0.0,-3,-5,8,181.35592651367188
32,0.5609756097560976,0.0,-3,-5,8,181.35592651367188
33,0.6097560975609757,0.0,-3,-5,8,181.35592651367188
34,0.6585365853658538,0.0,-3,-5,8,181.35592651367188
35,0.7073170731707317,0.0,-3,-5,8,181.35592651367188
36,0.7560975609756098,0.0,-3,-5,8,181.35592651367188
37,0.8048780487804879,0.0,-3,-5,8,181.35592651367188
38,0.853658536585366,0.0,-3,-5,8,181.35592651367188
39,0.902439024390244,0.0,-3,-5,8,181.35592651367188
40,0.9512195121951219,0.0,-3,-5,8,181.35592651367188
41,1.0,0.0,-3,-5,8,181.35592651367188
0,-1.0,0.0,-3,-4,8,181.35592651367188
1,-0.9512195121951219,0.0,-3,-4,8,181.35592651367188
2,-0.9024390243902439,0.0,-3,-4,8,181.35592651367188
3,-0.8536585365853658,0.0,-3,-4,8,181.35592651367188
4,-0.8048780487804879,0.0,-3,-4,8,181.35592651367188
5,-0.7560975609756098,0.0,-3,-4,8,181.35592651367188
6,-0.7073170731707317,0.0,-3,-4,8,181.35592651367188
7,-0.6585365853658536,0.0,-3,-4,8,181.35592651367188
8,-0.6097560975609756,0.0,-3,-4,8,181.35592651367188
9,-0.5609756097560976,3.249302608310245e-06,-3,-4,8,181.35592651367188
10,-0.5121951219512195,2.236533873656299e-06,-3,-4,8,181.35592651367188
11,-0.46341463414634143,9.317686249232793e-07,-3,-4,8,181.35592651367188
12,-0.41463414634146334,1.1305456837362726e-07,-3,-4,8,181.35592651367188
13,-0.36585365853658536,1.0051551271317294e-06,-3,-4,8,181.35592651367188
14,-0.31707317073170727,2.560463599365903e-06,-3,-4,8,181.35592651367188
15,-0.2682926829268293,3.1101044442038983e-06,-3,-4,8,181.35592651367188
16,-0.2195121951219512,2.0749632767547155e-06,-3,-4,8,181.35592651367188
17,-0.1707317073170731,8.297751037389389e-07,-3,-4,8,181.35592651367188
18,-0.12195121951219512,1.1323417083985987e-06,-3,-4,8,181.35592651367188
19,-0.07317073170731703,3.691841811814811e-06,-3,-4,8,181.35592651367188
20,-0.024390243902439046,6.7943078647658695e-06,-3,-4,8,181.35592651367188
21,0.024390243902439046,7.537729743489763e-06,-3,-4,8,181.35592651367188
22,0.07317073170731714,6.266029686230468e-06,-3,-4,8,181.35592651367188
23,0.12195121951219523,9.114235581364483e-06,-3,-4,8,181.35592651367188
24,0.17073170731707332,2.6246070774504915e-05,-3,-4,8,181.35592651367188
25,0.2195121951219512,5.847786451340653e-05,-3,-4,8,181.35592651367188
26,0.2682926829268293,0.00010399097664048895,-3,-4,8,181.35592651367188
27,0.3170731707317074,0.0001456399040762335,-3,-4,8,181.35592651367188
28,0.36585365853658547,0.00016827619401738048,-3,-4,8,181.35592651367188
29,0.41463414634146356,0.00016085927200037986,-3,-4,8,181.35592651367188
30,0.46341463414634143,0.00012693881581071764,-3,-4,8,181.35592651367188
31,0.5121951219512195,7.97082029748708e-05,-3,-4,8,181.35592651367188
32,0.5609756097560976,3.284294871264137e-05,-3,-4,8,181.35592651367188
33,0.6097560975609757,7.5594434747472405e-06,-3,-4,8,181.35592651367188
34,0.6585365853658538,2.8388953410285467e-07,-3,-4,8,181.35592651367188
35,0.7073170731707317,3.2730999919294845e-06,-3,-4,8,181.35592651367188
36,0.7560975609756098,7.4944491643691435e-06,-3,-4,8,181.35592651367188
37,0.8048780487804879,7.732958692940883e-06,-3,-4,8,181.35592651367188
38,0.853658536585366,4.3518284655874595e-06,-3,-4,8,181.35592651367188
39,0.902439024390244,1.1005279247910948e-06,-3,-4,8,181.35592651367188
40,0.9512195121951219,6.47170168122102e-07,-3,-4,8,181.35592651367188
41,1.0,2.482976469764253e-06,-3,-4,8,181.35592651367188
0,-1.0,4.662971605284838e-06,-3,-2,9,181.35592651367188
1,-0.9512195121951219,5.53056224816828e-06,-3,-2,9,181.35592651367188
2,-0.9024390243902439,4.758253453474026e-06,-3,-2,9,181.35592651367188
3,-0.8536585365853658,2.866972181436722e-06,-3,-2,9,181.35592651367188
4,-0.8048780487804879,8.57471491144679e-07,-3,-2,9,181.35592651367188
5,-0.7560975609756098,2.0094235608780764e-08,-3,-2,9,181.35592651367188
6,-0.7073170731707317,2.374502173552173e-06,-3,-2,9,181.35592651367188
7,-0.6585365853658536,1.09337179310387e-05,-3,-2,9,181.35592651367188
8,-0.6097560975609756,2.9344131689867936e-05,-3,-2,9,181.35592651367188
9,-0.5609756097560976,6.311402830760926e-05,-3,-2,9,181.35592651367188
10,-0.5121951219512195,0.00011489750613691285,-3,-2,9,181.35592651367188
11,-0.46341463414634143,0.00018315677880309522,-3,-2,9,181.35592651367188
12,-0.41463414634146334,0.00027120212325826287,-3,-2,9,181.35592651367188
13,-0.36585365853658536,0.0003716464270837605,-3,-2,9,181.35592651367188
14,-0.31707317073170727,0.0004684891027864069,-3,-2,9,181.35592651367188
15,-0.2682926829268293,0.0005505559965968132,-3,-2,9,181.35592651367188
16,-0.2195121951219512,0.0006026363116689026,-3,-2,9,181.35592651367188
17,-0.1707317073170731,0.0006248002755455673,-3,-2,9,181.35592651367188
18,-0.12195121951219512,0.0006007329793646932,-3,-2,9,181.35592651367188
19,-0.07317073170731703,0.0005306886159814894,-3,-2,9,181.35592651367188
20,-0.024390243902439046,0.0004351569223217666,-3,-2,9,181.35592651367188
21,0.024390243902439046,0.00032367216772399843,-3,-2,9,181.35592651367188
22,0.07317073170731714,0.0002114457165589556,-3,-2,9,181.35592651367188
23,0.12195121951219523,0.00011739218462025747,-3,-2,9,181.35592651367188
24,0.17073170731707332,5.243761552264914e-05,-3,-2,9,181.35592651367188
25,0.2195121951219512,1.4410351468541194e-05,-3,-2,9,181.35592651367188
26,0.2682926829268293,1.5900498055998469e-06,-3,-2,9,181.35592651367188
27,0.3170731707317074,7.39762924695242e-07,-3,-2,9,181.35592651367188
28,0.36585365853658547,4.868566065852065e-06,-3,-2,9,181.35592651367188
