tilt_index,tilt_angle,intensity,h,k,l,thickness
0,-1.0,6.09829442055343e-07,-3,-6,7,1645.7626953125
1,-0.9512195121951219,3.6861656553810462e-06,-3,-6,7,1645.7626953125
2,-0.9024390243902439,3.791046310652746e-06,-3,-6,7,1645.7626953125
3,-0.8536585365853658,6.40072528312885e-07,-3,-6,7,1645.7626953125
4,-0.8048780487804879,9.310808309237473e-06,-3,-6,7,1645.7626953125
5,-0.7560975609756098,2.187357131333556e-05,-3,-6,7,1645.7626953125
6,-0.7073170731707317,2.8739033950841986e-05,-3,-6,7,1645.7626953125
7,-0.6585365853658536,2.9526923754019663e-05,-3,-6,7,1645.7626953125
8,-0.6097560975609756,3.864532845909707e-05,-3,-6,7,1645.7626953125
9,-0.5609756097560976,0.008767046965658665,-3,-6,7,1645.7626953125
10,-0.5121951219512195,0.00019902792701032013,-3,-6,7,1645.7626953125
11,-0.46341463414634143,4.961166268913075e-06,-3,-6,7,1645.7626953125
12,-0.41463414634146334,1.850747321441304e-05,-3,-6,7,1645.7626953125
13,-0.36585365853658536,1.0280600690748543e-05,-3,-6,7,1645.7626953125
14,-0.31707317073170727,1.7406166819000646e-07,-3,-6,7,1645.7626953125
15,-0.2682926829268293,1.2219248901601532e-06,-3,-6,7,1645.7626953125
16,-0.2195121951219512,4.860356511926511e-06,-3,-6,7,1645.7626953125
17,-0.1707317073170731,1.3897678400098812e-05,-3,-6,7,1645.7626953125
18,-0.12195121951219512,2.0231510688972776e-07,-3,-6,7,1645.7626953125
19,-0.07317073170731703,2.3253853953519865e-07,-3,-6,7,1645.7626953125
20,-0.024390243902439046,4.327208898757817e-06,-3,-6,7,1645.7626953125
21,0.024390243902439046,4.454187092051143e-06,-3,-6,7,1645.7626953125
22,0.07317073170731714,4.3798013393825386e-06,-3,-6,7,1645.7626953125
23,0.12195121951219523,1.3123611779519706e-06,-3,-6,7,1645.7626953125
24,0.17073170731707332,0.0,-3,-6,7,1645.7626953125
25,0.2195121951219512,0.0,-3,-6,7,1645.7626953125
26,0.2682926829268293,0.0,-3,-6,7,1645.7626953125
27,0.3170731707317074,0.0,-3,-6,7,1645.7626953125
28,0.36585365853658547,0.0,-3,-6,7,1645.7626953125
29,0.41463414634146356,0.0,-3,-6,7,1645.7626953125
30,0.46341463414634143,0.0,-3,-6,7,1645.7626953125
31,0.5121951219512195,0.0,-3,-6,7,1645.7626953125
32,0.5609756097560976,0.0,-3,-6,7,1645.7626953125
33,0.6097560975609757,0.0,-3,-6,7,1645.7626953125
34,0.6585365853658538,0.0,-3,-6,7,1645.7626953125
35,0.7073170731707317,0.0,-3,-6,7,1645.7626953125
36,0.7560975609756098,0.0,-3,-6,7,1645.7626953125
37,0.8048780487804879,0.0,-3,-6,7,1645.7626953125
38,0.853658536585366,0.0,-3,-6,7,1645.7626953125
39,0.902439024390244,0.0,-3,-6,7,1645.7626953125
40,0.9512195121951219,0.0,-3,-6,7,1645.7626953125
41,1.0,0.0,-3,-6,7,1645.7626953125
0,-1.0,0.0,-3,-5,7,1645.7626953125
1,-0.9512195121951219,0.0,-3,-5,7,1645.7626953125
2,-0.9024390243902439,0.0,-3,-5,7,1645.7626953125
3,-0.8536585365853658,0.0,-3,-5,7,1645.7626953125
4,-0.8048780487804879,0.0,-3,-5,7,1645.7626953125
5,-0.7560975609756098,0.0,-3,-5,7,1645.7626953125
6,-0.7073170731707317,0.0,-3,-5,7,1645.7626953125
7,-0.6585365853658536,0.0,-3,-5,7,1645.7626953125
8,-0.6097560975609756,0.0,-3,-5,7,1645.7626953125
9,-0.5609756097560976,0.0,-3,-5,7,1645.7626953125
10,-0.5121951219512195,0.0,-3,-5,7,1645.7626953125
11,-0.46341463414634143,0.0,-3,-5,7,1645.7626953125
