"atom_id","element","x","y","z"
"0","5","4.660758702885224","4.245496978718259","4.236137035301624"
"1","5","7.31953676550683","5.372431858302279","4.433875072445702"
"2","5","5.866949590596608","6.417046349796922","2.1557873926074436"
"3","5","6.344432810411158","4.026053447937591","3.7270520026497223"
"4","5","7.0454640436338805","5.27101359375191","2.640691626417465"
"5","5","6.011449362844216","4.58597160170479","5.367159378373991"
"6","5","6.9257741488841","6.836282026431064","3.5159921896138555"
"7","5","5.336862849787649","4.71577551695348","2.4612305083011807"
"8","5","6.1999047742993305","6.384110385301166","5.304424400689249"
"9","1","4.584138233783706","5.876244446499155","2.513694006741969"
"10","1","5.828356406890693","7.051749785988364","1.1019000353195239"
"11","1","7.709383942743141","7.785564184945792","3.4472785836272233"
"12","1","6.641315878728661","2.8362120115365936","3.5765529960322033"
"13","1","8.46161147991378","5.287041245276158","4.886125938039895"
"14","1","5.723403788255309","7.357936537818489","3.15054617050603"
"15","1","4.923570074775589","4.075994435209421","1.508044088909672"
"16","1","8.01379568745554","4.895403104374022","1.9201510640250037"
"17","1","3.815387565280448","5.349732407156171","4.280899087874006"
"18","1","6.33786620786003","3.8376741925574933","6.3169461416046255"
"19","1","3.8860693087871008","3.243487570026632","4.382410144460163"
