"atom_id","element","U11","U22","U33","U12","U13","U23"
"0","5","0.0011682925221409026","0.004742981171660098","0.014748360813827563","-0.0015736848970520376","-0.001462778309291504","-0.003192846893619108"
"1","5","0.00337450035762135","0.00827238305761935","0.0051035351527662825","-0.004454557847256676","0.002517203288626521","-0.0018027505840180922"
"2","5","0.0071907174080146985","0.008388436909867819","0.014670248769172604","0.004719904192906894","-0.001708279364237308","0.005555309159521588"
"3","5","0.003303105557087429","0.0005162933752692244","0.016583987768768474","-0.0012154400811321842","0.005590914154627077","-0.002749423249688907"
"4","5","0.007825151255249421","0.008092277639852452","0.007485007591678731","0.002111267553527151","-0.0019472298742406757","0.00382619929030873"
"5","5","0.0038808103198334117","0.005392400762941715","0.0029880948296336666","-0.001329787892386322","0.0015720909296316201","0.0013277779149643964"
"6","5","0.001592636920638722","0.00023727833396531233","0.019929962195874","0.00026702028882235837","0.0037785788263450587","0.001373344912189744"
"7","5","0.01115536929575914","0.008208741742805507","0.0029285438464150162","0.0024647733224848326","-0.0018696883300761574","0.00016837576567117074"
"8","5","0.000511005257056939","0.0004359281386428234","0.012670300270035227","-0.0004706100845821002","0.002542486503945069","-0.002348402913553205"
"9","1","0.022611484469481215","0.01402944518444026","0.05959925626122729","0.016885336233035318","0.006816625838969855","0.007651898857455273"
"10","1","0.13591611215639202","0.05333110059494587","0.003613589507598245","0.0000672134498765917","-0.018030090132699832","0.007920348498507042"
"11","1","0.048087047646468734","0.024977102665767442","0.07379298041553917","-0.009848275941826905","-0.032076357028708084","0.027769222599366938"
"12","1","0.07670165934192785","0.017596753403383264","0.047887394119548815","0.027673435078619343","0.022463340612694116","-0.009326350187605288"
"13","1","0.046908264476575215","0.06753468153768864","0.03349502558530919","-0.00831643042729393","0.022328097687618603","0.009216420185433692"
"14","1","0.01850547169646411","0.019748668081699762","0.00617889071518952","0.010189405188634763","-0.009737442198374281","-0.008085149637354244"
"15","1","0.04372129723427267","0.04766082247673535","0.015294936104167767","0.0008575253332888273","-0.008507041334059273","-0.016830148387245294"
"16","1","0.05931534310231878","0.07908688884090191","0.03326282837971164","0.06026917439506567","0.022510740876314293","0.032261393690028714"
"17","1","0.03103849597665695","0.006322299682699888","0.0959880386283059","0.008222952553608715","-0.00762186157753162","-0.012129251287211196"
"18","1","0.055126298294211055","0.07029330362150674","0.11944431266247205","0.008320912487492562","-0.054718539885453374","0.008750693455517104"
"19","1","0.029801835800029968","0.039323803854561294","0.13779802978007138","-0.03357918747178318","-0.04016349988445247","0.046859354398857536"
