Index,hkl,U_g_real,U_g_imag,g_mag
51,"(2, -2, 3)",0.0029120023154358,0.0006363328306071,0.4278001465219445
52,"(2, -1, 2)",0.0120279822723394,0.0008849228456148,0.3223714850684046
60,"(3, 7, -6)",-0.0018909570585518,-0.0008467097959253,1.047901041864171
92,"(5, 8, -6)",-4.443927505511128e-05,-9.82649505288065e-06,1.247197023917759
93,"(5, 9, -7)",-0.0017412261957567,-0.0003000754079407,1.3757871775565578
94,"(5, 10, -8)",-0.0001242684019187,-3.980631976727792e-05,1.5077017597135856
111,"(7, 4, -1)",-0.0005673176085099,-9.692686855272132e-05,0.9897511783848312
112,"(7, 5, -2)",-0.0085350461661405,-0.0020675884015619,1.0630602068830357
113,"(7, 6, -3)",0.0018174361580243,0.0003776588679161,1.1505089780861866
114,"(7, 7, -4)",-0.0018125933851375,-0.0009106247470892,1.249131342457757
118,"(7, 11, -8)",-0.0016374194921364,-0.0006264934825207,1.714002592609092
119,"(7, 12, -9)",-0.0003195785723926,-4.879847996737744e-05,1.841163918231475
120,"(7, 13, -10)",-0.0008985495391159,-0.00037141494937,1.971052652005761
146,"(9, 9, -5)",-0.0001867756995282,-4.321012896553271e-05,1.602760934561063
174,"(11, 11, -6)",-0.0006489880219478,-0.0003348292959563,1.9564449599087648
300,"(-9, -9, 6)",-0.0014024689518113,-0.0006016474506255,1.6273842840302102
359,"(-5, -11, 10)",-0.0012654411783984,-0.0005675301145904,1.6834529239268037
360,"(-5, -3, 1)",-0.0046097968042853,-0.00085349234197,0.7178545549001298
361,"(-5, -2, 0)",0.0031317480820196,0.0005112147196245,0.660704927830274
375,"(-4, -8, 7)",-5.839596006684199e-05,4.73518815159604e-05,1.2300256196520776
398,"(-2, 1, -2)",0.0120279822723394,0.0008849228456148,0.3223714850684046
421,"(-1, -5, 5)",-0.005953699394237,-0.0011575569653952,0.7441260607609527
58,"(3, 8, -7)",0.002337826525541,0.0004520927093571,1.1860714075644994
