h,k,l,L_factor
-13,-5,0,0.9702355124567372
-10,0,-4,0.8821751645096136
-8,6,-10,0.6836211508462832
-7,-1,-2,1.3980913633459024
-7,3,-6,0.9408030387442311
-7,7,-10,0.7087625235597393
-5,-3,1,3.2661390598618727
-4,2,-4,1.5513718221424735
-4,3,-5,1.3671838008480302
-4,4,-6,1.2220159948782936
-4,5,-7,1.104677427277256
-4,6,-8,1.007887089480746
-2,1,-2,3.1027368115803915
-1,-11,12,1.1057771977118045
-1,-5,5,2.953050767332629
2,-8,10,1.0261026785987575
2,-1,2,3.1027240846132838
3,9,-8,2.2188596964724443
4,-3,5,1.367066867321965
4,-2,4,1.5513586709612281
4,-1,3,1.7927790579786764
4,0,2,2.1225818128710197
5,-5,8,0.9568703341848227
5,9,-7,4.61497367813839
6,-2,5,1.1362822171550686
6,-1,4,1.2605427738470054
7,5,-2,2.719121911131404
8,-4,8,0.7756761959714946
8,-2,6,0.8964204080875051
