orientation,h,k,l,thickness_A,I_with_abs,I_without_abs
orientation_1,2,-1,2,100.0,7.985112641786902e-05,8.942549376651809e-05
orientation_1,2,-1,2,120.0,9.357472192598168e-05,0.00010719505789936189
orientation_1,2,-1,2,140.0,0.00010657799170079658,0.00012488767263282613
orientation_1,2,-1,2,160.0,0.00011887727479518569,0.00014249072291307502
orientation_1,2,-1,2,180.0,0.00013048906496410968,0.00015999169016124766
orientation_1,2,-1,2,200.0,0.0001414299607275175,0.00017737816569649806
orientation_1,2,-1,2,220.0,0.00015171667735483057,0.0001946378640411525
orientation_1,2,-1,2,240.0,0.0001613660008531409,0.0002117586360834295
orientation_1,2,-1,2,260.0,0.00017039477075878385,0.00022872848207907085
orientation_1,2,-1,2,280.0,0.00017881985824194538,0.00024553556447524515
orientation_1,2,-1,2,300.0,0.00018665814492148158,0.0002621682205409576
orientation_1,2,-1,2,320.0,0.00019392650239718643,0.00027861497478869724
orientation_1,2,-1,2,340.0,0.00020064177250532354,0.0002948645511724351
orientation_1,2,-1,2,360.0,0.00020682074830180176,0.0003109058850474046
orientation_1,2,-1,2,380.0,0.00021248015577599128,0.00032672813487743255
orientation_1,2,-1,2,400.0,0.00021763663629681662,0.0003423206936759145
orientation_1,2,-1,2,420.0,0.00022230672979145548,0.00035767320016686705
orientation_1,2,-1,2,440.0,0.00022650685865573393,0.00037277554965284857
orientation_1,2,-1,2,460.0,0.0002302533123940923,0.0003876179045769044
orientation_1,2,-1,2,480.0,0.00023356223298586664,0.00040219070476608904
orientation_1,2,-1,2,500.0,0.0002364496009735262,0.0004164846773445006
orientation_1,2,-1,2,520.0,0.0002389312222674808,0.00043049084630419394
orientation_1,2,-1,2,540.0,0.0002410227156610736,0.00044420054172276155
orientation_1,2,-1,2,560.0,0.00024273950104845247,0.00045760540861680655
orientation_1,2,-1,2,580.0,0.00024409678833712614,0.000470697415421004
orientation_1,2,-1,2,600.0,0.00024510956704618044,0.00048346886208290503
orientation_1,2,-1,2,620.0,0.0002457925965803629,0.0004959123877641182
orientation_1,2,-1,2,640.0,0.0002461603971694745,0.0005080209781389883
orientation_1,2,-1,2,660.0,0.00024622724146189525,0.0005197879722824477
orientation_1,2,-1,2,680.0,0.00024600714676035497,0.0005312070691391203
orientation_1,2,-1,2,700.0,0.00024551386788754015,0.0005422723335664105
orientation_1,2,-1,2,720.0,0.00024476089066853644,0.0005529782019447349
orientation_1,2,-1,2,740.0,0.00024376142601669203,0.0005633194873486811
orientation_1,2,-1,2,760.0,0.0002425284046088434,0.0005732913842733279
orientation_1,2,-1,2,780.0,0.00024107447213574557,0.0005828894729106344
orientation_1,2,-1,2,800.0,0.00023941198511286712,0.0005921097229712513
orientation_1,2,-1,2,820.0,0.00023755300723656253,0.0006009484970477539
orientation_1,2,-1,2,840.0,0.000235509306270254,0.000609402553515701
orientation_1,2,-1,2,860.0,0.0002332923505995651,0.000617469048970557
orientation_1,2,-1,2,880.0,0.000230913310494463,0.000625145540195418
orientation_1,2,-1,2,900.0,0.0002283830514776606,0.000632429985662392
orientation_1,2,-1,2,920.0,0.00022571213649527072,0.0006393207465619043
orientation_1,2,-1,2,940.0,0.00022291082439075037,0.0006458165873621842
orientation_1,2,-1,2,960.0,0.00021998907058017487,0.000651916675897928
orientation_1,2,-1,2,980.0,0.0002169565234531404,0.0006576205829889324
orientation_1,2,-1,2,1000.0,0.000213822529545878,0.0006629282815898824
orientation_1,2,-1,2,1020.0,0.0002105961346574792,0.0006678401454732513
orientation_1,2,-1,2,1040.0,0.00020728608026730525,0.0006723569474468786
orientation_1,2,-1,2,1060.0,0.00020390080904411498,0.0006764798570870498
orientation_1,2,-1,2,1080.0,0.00020044846591668096,0.0006802104381544796
orientation_1,2,-1,2,1100.0,0.00019693690031806512,0.00068355064520141
orientation_1,2,-1,2,1120.0,0.00019337366887552535,0.0006865028201994154
orientation_1,2,-1,2,1140.0,0.00018976603828492844,0.0006890696883765145
orientation_1,2,-1,2,1160.0,0.00018612098849773442,0.000691254353746954
orientation_1,2,-1,2,1180.0,0.00018244521606227592,0.0006930602938170423
orientation_1,2,-1,2,1200.0,0.00017874513800718994,0.0006944913549841189
orientation_1,2,-1,2,1220.0,0.00017502689588219064,0.0006955517484875767
orientation_1,2,-1,2,1240.0,0.00017129635959873385,0.0006962460374705741
orientation_1,2,-1,2,1260.0,0.00016755913092182502,0.0006965791383720952
orientation_1,2,-1,2,1280.0,0.00016382054983749263,0.00069655631006135
orientation_1,2,-1,2,1300.0,0.00016008569788992358,0.0006961831468301014
orientation_1,2,-1,2,1320.0,0.0001563594034525665,0.0006954655713214298
orientation_1,2,-1,2,1340.0,0.00015264624645196933,0.0006944098253386902
orientation_1,2,-1,2,1360.0,0.00014895056376629638,0.0006930224626949304
orientation_1,2,-1,2,1380.0,0.00014527645041447604,0.0006913103211839846
orientation_1,2,-1,2,1400.0,0.00014162779615949306,0.0006892806050360069
orientation_1,2,-1,2,1420.0,0.0001380081920322753,0.0006869406926715003
orientation_1,2,-1,2,1440.0,0.0001344210958157668,0.0006842983115627629
orientation_1,2,-1,2,1460.0,0.00013086969642809118,0.0006813614335764778
orientation_1,2,-1,2,1480.0,0.00012735698426680596,0.0006781382836478141
orientation_1,2,-1,2,1500.0,0.0001238857461021455,0.0006746373276919159
orientation_1,2,-1,2,1520.0,0.00012045856595126485,0.0006708672795910364
orientation_1,2,-1,2,1540.0,0.00011707783992851364,0.0006668370515141594
orientation_1,2,-1,2,1560.0,0.00011374578236755777,0.000662555836768369
orientation_1,2,-1,2,1580.0,0.00011046438732219852,0.000658032791948453
orientation_1,2,-1,2,1600.0,0.00010723431154452502,0.0006532742123550244
orientation_1,2,-1,2,1620.0,0.0001040608859977996,0.0006482999327064574
orientation_1,2,-1,2,1640.0,0.00010094196005669397,0.0006431096080379657
orientation_1,2,-1,2,1660.0,9.788010931683341e-05,0.0006377166467285663
orientation_1,2,-1,2,1680.0,9.487653440305525e-05,0.0006321311906125318
orientation_1,2,-1,2,1700.0,9.193229901409761e-05,0.0006263635792972673
orientation_1,2,-1,2,1720.0,8.904828587790515e-05,0.0006204239960151094
orientation_1,2,-1,2,1740.0,8.622529978729696e-05,0.0006143231260825877
orientation_1,2,-1,2,1760.0,8.346412679781537e-05,0.0006080725868373132
orientation_1,2,-1,2,1780.0,8.07653021865203e-05,0.000601683220064836
orientation_1,2,-1,2,1800.0,7.812827048371286e-05,0.0005951584552473043
orientation_1,2,-1,2,1820.0,7.555457529860022e-05,0.0005885185659758875
orientation_1,2,-1,2,1840.0,7.304392109162292e-05,0.0005817707922114166
orientation_1,2,-1,2,1860.0,7.05962903257707e-05,0.0005749252155295747
orientation_1,2,-1,2,1880.0,6.821192556384981e-05,0.0005679948950367912
orientation_1,2,-1,2,1900.0,6.58904348330245e-05,0.0005609884257528965
orientation_1,2,-1,2,1920.0,6.36316700393166e-05,0.0005539171225520366
orientation_1,2,-1,2,1940.0,6.143706324472956e-05,0.0005467824391063342
orientation_1,2,-1,2,1960.0,5.930061621262014e-05,0.0005396189709893617
orientation_1,2,-1,2,1980.0,5.722864097915626e-05,0.0005324241177758678
orientation_1,2,-1,2,2000.0,5.521717951443336e-05,0.0005252019914342059
orientation_1,2,-1,2,2020.0,5.326619742538299e-05,0.0005179682334486411
orientation_1,2,-1,2,2040.0,5.137792523381183e-05,0.0005107345163080394
orientation_1,2,-1,2,2060.0,4.954326073103983e-05,0.0005035099766085753
orientation_1,2,-1,2,2080.0,4.7769707607978223e-05,0.0004963047650176866
orientation_1,2,-1,2,2100.0,4.605281195121263e-05,0.0004891193645591934
orientation_1,2,-1,2,2120.0,4.439474112925958e-05,0.0004819966099032349
orientation_1,2,-1,2,2140.0,4.27912969602718e-05,0.00047491049981904156
orientation_1,2,-1,2,2160.0,4.124282944326005e-05,0.0004678847448031162
orientation_1,2,-1,2,2180.0,3.974838769790945e-05,0.00046092918927276256
orientation_1,2,-1,2,2200.0,3.830664250917422e-05,0.00045404933414026194
orientation_1,2,-1,2,2220.0,3.691688186177611e-05,0.0004472581450167731
orientation_1,2,-1,2,2240.0,3.5577364541764385e-05,0.0004405638474774783
orientation_1,2,-1,2,2260.0,3.4289737163359404e-05,0.000433986608455598
orientation_1,2,-1,2,2280.0,3.304708334728564e-05,0.00042748306706885523
orientation_1,2,-1,2,2300.0,3.1855022678467955e-05,0.00042114205605053737
orientation_1,2,-1,2,2320.0,3.070830562139275e-05,0.00041491718588347923
orientation_1,2,-1,2,2340.0,2.960683511668988e-05,0.0004088301795275772
orientation_1,2,-1,2,2360.0,2.854939512085965e-05,0.00040288774297416575
orientation_1,2,-1,2,2380.0,2.7534549042555114e-05,0.0003970979673401374
orientation_1,2,-1,2,2400.0,2.6562982650947633e-05,0.00039146762770179934
orientation_1,2,-1,2,2420.0,2.5629413672244288e-05,0.0003859954093910172
orientation_1,2,-1,2,2440.0,2.4737129274268537e-05,0.00038071161589695127
orientation_1,2,-1,2,2460.0,2.3882587649421907e-05,0.0003755988099158777
orientation_1,2,-1,2,2480.0,2.3065114782552146e-05,0.00037067054912183294
orientation_1,2,-1,2,2500.0,2.2282483334046588e-05,0.00036593411399563915
orientation_1,5,9,-7,100.0,1.678278330858609e-06,1.8795821052134878e-06
orientation_1,5,9,-7,120.0,1.9691975024855284e-06,2.255981091781579e-06
orientation_1,5,9,-7,140.0,2.246237928232119e-06,2.63234606861548e-06
orientation_1,5,9,-7,160.0,2.5098425437318754e-06,3.008671367203226e-06
orientation_1,5,9,-7,180.0,2.760470462766831e-06,3.3849513207624912e-06
orientation_1,5,9,-7,200.0,2.99856716290248e-06,3.76118026389605e-06
orientation_1,5,9,-7,220.0,3.2245648593079525e-06,4.137352532532641e-06
orientation_1,5,9,-7,240.0,3.4388828689588035e-06,4.5134624639719355e-06
orientation_1,5,9,-7,260.0,3.641927965405154e-06,4.889504396972279e-06
orientation_1,5,9,-7,280.0,3.834094724318844e-06,5.26547267185767e-06
orientation_1,5,9,-7,300.0,4.015765860041016e-06,5.641361630634095e-06
orientation_1,5,9,-7,320.0,4.187365687050431e-06,6.01716561711075e-06
orientation_1,5,9,-7,340.0,4.349153407524455e-06,6.392878977023714e-06
orientation_1,5,9,-7,360.0,4.501525837879115e-06,6.768496058161215e-06
orientation_1,5,9,-7,380.0,4.644821423085259e-06,7.144011210489638e-06
orientation_1,5,9,-7,400.0,4.779368303037659e-06,7.519418786280072e-06
orientation_1,5,9,-7,420.0,4.9054845995692345e-06,7.894713140235145e-06
orientation_1,5,9,-7,440.0,5.023470476193687e-06,8.269888629615938e-06
orientation_1,5,9,-7,460.0,5.13364072653337e-06,8.644939614369127e-06
orientation_1,5,9,-7,480.0,5.2362774056857005e-06,9.019860457253944e-06
orientation_1,5,9,-7,500.0,5.331661286543475e-06,9.394645523969385e-06
orientation_1,5,9,-7,520.0,5.420064449566017e-06,9.769289183281189e-06
orientation_1,5,9,-7,540.0,5.501750527310184e-06,1.0143785807148871e-05
orientation_1,5,9,-7,560.0,5.576974942492283e-06,1.0518129770852687e-05
orientation_1,5,9,-7,580.0,5.645985139744653e-06,1.0892315453120582e-05
orientation_1,5,9,-7,600.0,5.709020811226152e-06,1.1266337236254772e-05
orientation_1,5,9,-7,620.0,5.766314116242783e-06,1.1640189506258305e-05
orientation_1,5,9,-7,640.0,5.818089895030672e-06,1.2013866652963141e-05
orientation_1,5,9,-7,660.0,5.864565876847711e-06,1.2387363070154433e-05
orientation_1,5,9,-7,680.0,5.905952882522607e-06,1.2760673155700762e-05
orientation_1,5,9,-7,700.0,5.942455021592844e-06,1.3133791311669876e-05
orientation_1,5,9,-7,720.0,5.974269884190193e-06,1.350671194447477e-05
orientation_1,5,9,-7,740.0,6.001588727775744e-06,1.3879429464980592e-05
orientation_1,5,9,-7,760.0,6.024596658886095e-06,1.4251938288639386e-05
orientation_1,5,9,-7,780.0,6.043472810001546e-06,1.462423283561508e-05
orientation_1,5,9,-7,800.0,6.058390511665138e-06,1.4996307530909197e-05
orientation_1,5,9,-7,820.0,6.069517459973995e-06,1.5368156804486244e-05
orientation_1,5,9,-7,840.0,6.077015879560421e-06,1.5739775091396623e-05
orientation_1,5,9,-7,860.0,6.081042682185525e-06,1.6111156831915576e-05
