orientation,h,k,l,thickness_A,I_with_abs,I_without_abs,L_factor
orientation_1,2,-1,2,100.0,0.00024775601312022227,0.0002774626332878108,3.102724084613284
orientation_1,2,-1,2,120.0,0.0002903365434307341,0.0003325966878956736,3.102724084613284
orientation_1,2,-1,2,140.0,0.0003306821017394766,0.00038749198974908787,3.102724084613284
orientation_1,2,-1,2,160.0,0.00036884338361994846,0.000442109397816123,3.102724084613284
orientation_1,2,-1,2,180.0,0.00040487156464278056,0.0004964100704011415,3.102724084613284
orientation_1,2,-1,2,200.0,0.0004388181454351252,0.0005503555067907461,3.102724084613284
orientation_1,2,-1,2,220.0,0.0004707349888662408,0.0006039075885380068,3.102724084613284
orientation_1,2,-1,2,240.0,0.0005006741772846412,0.0006570286203008249,3.102724084613284
orientation_1,2,-1,2,260.0,0.0005286879591251778,0.0007096813701835512,3.102724084613284
orientation_1,2,-1,2,280.0,0.0005548286809742765,0.000761829109526321,3.102724084613284
orientation_1,2,-1,2,300.0,0.0005791487218368645,0.0008134356520924576,3.102724084613284
orientation_1,2,-1,2,320.0,0.000601700429632298,0.0008644653926105122,3.102724084613284
orientation_1,2,-1,2,340.0,0.0006225360599316938,0.0009148833446212918,3.102724084613284
orientation_1,2,-1,2,360.0,0.0006417077169537369,0.0009646551775845772,3.102724084613284
orientation_1,2,-1,2,380.0,0.0006592672968282673,0.0010137472532048867,3.102724084613284
orientation_1,2,-1,2,400.0,0.000675266433132303,0.0010621266609297413,3.102724084613284
orientation_1,2,-1,2,420.0,0.0006897564446953943,0.0011097612525782384,3.102724084613284
orientation_1,2,-1,2,440.0,0.0007027882856811374,0.0011566196760626978,3.102724084613284
orientation_1,2,-1,2,460.0,0.0007144124979268502,0.0012026714081580815,3.102724084613284
orientation_1,2,-1,2,480.0,0.0007246791655411009,0.001247886786285059,3.102724084613284
orientation_1,2,-1,2,500.0,0.0007336378717376791,0.0012922370392691727,3.102724084613284
orientation_1,2,-1,2,520.0,0.0007413376578951518,0.0013356943170332867,3.102724084613284
orientation_1,2,-1,2,540.0,0.0007478269848202841,0.0013782317192012894,3.102724084613284
orientation_1,2,-1,2,560.0,0.0007531536961898822,0.0014198233225646486,3.102724084613284
orientation_1,2,-1,2,580.0,0.0007573649841502711,0.001460444207391961,3.102724084613284
orientation_1,2,-1,2,600.0,0.000760507357043069,0.001500070482545192,3.102724084613284
orientation_1,2,-1,2,620.0,0.0007626266092293336,0.0015386793093737552,3.102724084613284
orientation_1,2,-1,2,640.0,0.0007637677929754691,0.0015762489243603638,3.102724084613284
orientation_1,2,-1,2,660.0,0.0007639751923714175,0.0016127586604929045,3.102724084613284
orientation_1,2,-1,2,680.0,0.0007632922992401777,0.0016481889673347194,3.102724084613284
orientation_1,2,-1,2,700.0,0.0007617617910011101,0.001682521429775918,3.102724084613284
orientation_1,2,-1,2,720.0,0.0007594255104485539,0.001715738785439969,3.102724084613284
orientation_1,2,-1,2,740.0,0.000756324447401384,0.0017478249407285094,3.102724084613284
orientation_1,2,-1,2,760.0,0.0007524987221825592,0.0017787649854860573,3.102724084613284
orientation_1,2,-1,2,780.0,0.0007479875708808704,0.001808545206267261,3.102724084613284
orientation_1,2,-1,2,800.0,0.0007428293323545616,0.0018371530981964419,3.102724084613284
orientation_1,2,-1,2,820.0,0.0007370614369250024,0.001864577375402054,3.102724084613284
orientation_1,2,-1,2,840.0,0.0007307203967151159,0.0018908079800179982,3.102724084613284
orientation_1,2,-1,2,860.0,0.000723841794961115,0.0019158360897440299,3.102724084613284
orientation_1,2,-1,2,880.0,0.0007164602899287603,0.0019396541239528496,3.102724084613284
orientation_1,2,-1,2,900.0,0.000708609594337025,0.001962255748346052,3.102724084613284
orientation_1,2,-1,2,920.0,0.0007003224820931781,0.001983635878150553,3.102724084613284
orientation_1,2,-1,2,940.0,0.0006916307835580272,0.002003790679851147,3.102724084613284
orientation_1,2,-1,2,960.0,0.000682565387640568,0.002022717571469447,3.102724084613284
orientation_1,2,-1,2,980.0,0.0006731562306319002,0.0020404152213770893,3.102724084613284
orientation_1,2,-1,2,1000.0,0.0006634323122546892,0.0020568835456599697,3.102724084613284
orientation_1,2,-1,2,1020.0,0.0006534216991279774,0.002072123704031337,3.102724084613284
orientation_1,2,-1,2,1040.0,0.0006431515136504342,0.0020861380943002546,3.102724084613284
orientation_1,2,-1,2,1060.0,0.0006326479510932632,0.0020989303453395874,3.102724084613284
orientation_1,2,-1,2,1080.0,0.0006219362829232198,0.002110505309067012,3.102724084613284
orientation_1,2,-1,2,1100.0,0.0006110408637657441,0.0021208690499193335,3.102724084613284
orientation_1,2,-1,2,1120.0,0.000599985139750048,0.0021300288343876215,3.102724084613284
orientation_1,2,-1,2,1140.0,0.0005887916574282058,0.0021379931181027367,3.102724084613284
orientation_1,2,-1,2,1160.0,0.0005774820736638458,0.002144771531964298,3.102724084613284
orientation_1,2,-1,2,1180.0,0.0005660771659986623,0.0021503748657151654,3.102724084613284
orientation_1,2,-1,2,1200.0,0.0005545968447021546,0.002154815053664881,3.102724084613284
orientation_1,2,-1,2,1220.0,0.0005430601653084933,0.002158105162127048,3.102724084613284
orientation_1,2,-1,2,1240.0,0.0005314853405334644,0.0021602593492762836,3.102724084613284
orientation_1,2,-1,2,1260.0,0.0005198897511079393,0.0021612928694659736,3.102724084613284
orientation_1,2,-1,2,1280.0,0.0005082899655350918,0.002161222039516554,3.102724084613284
orientation_1,2,-1,2,1300.0,0.0004967017504451187,0.0021600642169716175,3.102724084613284
orientation_1,2,-1,2,1320.0,0.00048514008694783723,0.0021578377781582454,3.102724084613284
orientation_1,2,-1,2,1340.0,0.0004736191852921252,0.002154562089670178,3.102724084613284
orientation_1,2,-1,2,1360.0,0.0004621525016141155,0.0021502574861814775,3.102724084613284
orientation_1,2,-1,2,1380.0,0.0004507527416278864,0.0021449451834790315,3.102724084613284
orientation_1,2,-1,2,1400.0,0.0004394319741944712,0.002138647534302014,3.102724084613284
orientation_1,2,-1,2,1420.0,0.00042820134129224204,0.0021313874318527955,3.102724084613284
orientation_1,2,-1,2,1440.0,0.00041707157146748236,0.002123188852345794,3.102724084613284
orientation_1,2,-1,2,1460.0,0.00040605255905318467,0.0021140765302841307,3.102724084613284
orientation_1,2,-1,2,1480.0,0.00039515358242831546,0.002104075985372344,3.102724084613284
orientation_1,2,-1,2,1500.0,0.00038438328817127197,0.0020932134850088027,3.102724084613284
orientation_1,2,-1,2,1520.0,0.0003737496937747659,0.0020815160659659895,3.102724084613284
orientation_1,2,-1,2,1540.0,0.0003632602337206558,0.0020690113802453074,3.102724084613284
orientation_1,2,-1,2,1560.0,0.00035292177847482325,0.0020557279521421124,3.102724084613284
orientation_1,2,-1,2,1580.0,0.00034274051503633,0.002041694192043623,3.102724084613284
orientation_1,2,-1,2,1600.0,0.0003327184811260445,0.002026929632530632,3.102724084613284
orientation_1,2,-1,2,1620.0,0.00032287221725126107,0.002011495815261319,3.102724084613284
orientation_1,2,-1,2,1640.0,0.00031319505061568493,0.001995391669905401,3.102724084613284
orientation_1,2,-1,2,1660.0,0.0003036949725819201,0.0019786587989633385,3.102724084613284
orientation_1,2,-1,2,1680.0,0.0002943757083570004,0.0019613286697486745,3.102724084613284
orientation_1,2,-1,2,1700.0,0.0002852405583049107,0.0019434333632100049,3.102724084613284
orientation_1,2,-1,2,1720.0,0.0002762922612869053,0.001925004475108067,3.102724084613284
orientation_1,2,-1,2,1740.0,0.000267533314353047,0.001906075159031096,3.102724084613284
orientation_1,2,-1,2,1760.0,0.0002589661564167988,0.0018866814603731934,3.102724084613284
