Intensity,HKL,G-vector Length
0.036071554,-11 -3 -1,1.4041394021378208
0.2400928,-10 -4 0,1.3213602848579946
0.43347615,-9 1 -3,1.143757486330632
0.008452898,-9 5 -5,1.3294447172983401
0.17247589,-8 0 -2,0.999905709842989
0.0009960971,-6 4 -4,0.9438526826395534
0.5045204,-6 8 -6,1.3124527186367698
2.4976168,-5 -7 3,1.0703558286787345
0.26956338,-5 3 -3,0.7570766821280147
0.2637481,-5 7 -5,1.1231225379984706
0.43781897,-4 -8 4,1.128918094258976
0.38825914,-3 -9 5,1.215188381645302
9.473339,-3 -3 1,0.5220870167437118
0.29105884,-2 6 -4,0.8316660885066868
0.15429614,-1 5 -3,0.6618798604781392
0.09127067,4 2 0,0.5476933138171399
0.033628453,9 3 1,1.1682493327914856
0.0033224418,10 2 2,1.2661648466598394
0.14737287,11 1 3,1.3838253538825445
0.28283516,12 0 4,1.5166423694994138
