Intensity,HKL,G-vector Length
0.0053090425,-11 -3 -1,1.4041388418182368
0.0014046218,-10 -4 0,1.3213602848579946
0.009730071,-9 1 -3,1.1437512926784967
0.0020967922,-9 5 -5,1.329429914625547
0.0029316167,-8 0 -2,0.9999025612542094
0.0671203,-5 3 -3,0.7570673242851043
0.006245233,-5 7 -5,1.1231050151679558
0.052794054,-4 -8 4,1.1289069361061983
0.01592319,-3 -9 5,1.2151721851183297
1.9002521,-3 -3 1,0.5220855086082214
0.08893215,-2 6 -4,0.8316509433621159
0.13248524,-1 5 -3,0.6618691558734869
0.0017913489,4 2 0,0.5476933138171399
0.019372683,9 3 1,1.1682486592768813
0.0003874503,10 2 2,1.2661623603646657
0.0032581259,11 1 3,1.3838202349676683
