,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
0,10,"[[-0.5933666083278508, -0.41255548296096034, -0.6911744022814085], [-0.11902050373108249, 0.894204044855582, -0.4315019120154516], [0.7961555174303591, -0.17382877445916856, -0.5796222128385285]]",0.08222982287406921,-0.5497250019331656,0.07277797029516345,0.36025026120637893
1,31,"[[-0.5931819497857302, -0.4243040844194108, -0.6841853317711502], [-0.5864672492521495, 0.8099976760689497, 0.006113097806891851], [0.5516385601257935, 0.40483321827640106, -0.7291980542105395]]",0.07054904103279114,0.060785977552651554,-0.037090069043128164,0.021078639920226853
2,4,"[[-0.5918665305212409, -0.4351686727375439, -0.6784763672409367], [0.017542734120373386, 0.8345951866365661, -0.5505215368051863], [0.8059159160393985, -0.337786893382971, -0.48628324888721247]]",0.11714540421962738,0.7162018293980571,-0.2800006040901651,-0.4051628757961043
3,23,"[[-0.5884814998508687, -0.4316603791152232, -0.6836424979961437], [-0.4348873614580711, 0.8818325166568557, -0.18243544033651576], [0.6816718380097194, 0.18989796628321612, -0.7065595352987653]]",0.04793868213891983,0.43433721924610547,0.13234183298847138,-0.2818810516821625
4,45,"[[-0.5912776234438221, -0.4252228241103427, -0.6852623847336121], [-0.7668803936936387, 0.5596044525630135, 0.31437995304464245], [0.24979791229681214, 0.7113708433503648, -0.6568542479979733]]",0.06148752570152283,0.037951471776138127,0.012427473656925153,0.004211086697048611
5,27,"[[-0.5969312781121265, -0.4168416479953832, -0.6855103117705542], [-0.5089679914233282, 0.8572709846145213, -0.07808805354996701], [0.6202726799339662, 0.3022402584571053, -0.7237784583445387]]",0.07196124643087387,-0.3261453594021356,-0.20290683035211002,0.28131723229369304
6,5,"[[-0.5913754896509621, -0.422729244618708, -0.6867189902872148], [0.0008850157527135385, 0.8512519241988711, -0.524694769967093], [0.8064663786665696, -0.3109504227141622, -0.5029803804207632]]",0.16853849589824677,0.013907627930266259,0.01195846198090516,-0.006369116727085412
7,3,"[[-0.586850278917691, -0.3744531713704085, -0.7179133015789962], [0.09609499416339981, 0.8481708773317961, -0.520863357682832], [0.8040420526682307, -0.3747118784928387, -0.46171783005571077]]",0.0850345641374588,-2.1587192900023,1.5866803303131047,2.083875197736383
8,30,"[[-0.5926619105621423, -0.42395757659454114, -0.6848504757100141], [-0.569045802870098, 0.8221840219401458, -0.016544599584913968], [0.5701337573899322, 0.3798597756689754, -0.728411230242546]]",0.08367343246936798,0.02165928219171446,-0.004647708677068339,0.004701594105699352
9,19,"[[-0.5922225530880093, -0.42347662489773535, -0.685527639769206], [-0.341881016219145, 0.9024589626577011, -0.2621064141994581], [0.7297284213429232, 0.07909130649117453, -0.679138346497632]]",0.19177235662937164,0.024617397897572772,-0.012287864777483296,0.025400903313528827
10,9,"[[-0.593555524155826, -0.4090903923198569, -0.6930691810846932], [-0.09107983077997414, 0.8897900438024045, -0.4471390256041258], [0.79969341817873, -0.20233125793194176, -0.565331726860764]]",0.09363538771867752,-0.7001643516944034,0.146946743171048,0.5104261423277854
11,49,"[[-0.6102086529856695, -0.41395209379636155, -0.6754977440705822], [-0.7780795653004973, 0.4740019670428431, 0.41231542524008524], [0.14950216943852387, 0.7771653590707089, -0.6112085653763679]]",0.11619996279478073,-0.2791486108145335,-1.1591138929027331,0.747725515970322
0,37,"[[-0.5925252135223483,-0.42462675447652276,-0.6845541245485991],[-0.680109791079119,0.7191887337952028,0.14252380998476114],[0.43183136123511,0.5499815767164192,-0.7148072538995949]]",0.080433,0.032791,-0.013811,-0.007868
1,17,"[[-0.5930725224705826,-0.42291018698797855,-0.6851423741542558],[-0.2951341184846476,0.9059142354935958,-0.3036734729816338],[0.7491825993396699,0.022055733636717808,-0.6619963448851194]]",0.098029,0.015784,-0.069128,0.062217
2,43,"[[-0.5917374949114056,-0.42546072849006045,-0.6847175828094361],[-0.7495546093084249,0.6031362022770989,0.2729352999647925],[0.29686429502791795,0.6747073278950615,-0.6756810697435192]]",0.081461,0.056965,-0.010554,-0.012956
3,46,"[[-0.5727657517167742,-0.437904096857327,-0.6929556879146596],[-0.7880188454351438,0.5271839909900262,0.3181185167482724],[0.22600861696785426,0.7282423502610308,-0.6469076982821762]]",0.050098,0.358747,1.007967,-0.851861
4,11,"[[-0.5923408281595073,-0.41794842976574126,-0.6888101896449541],[-0.14798093649232605,0.8968286367413705,-0.41685290367678607],[0.7920527985506562,-0.14504161800993873,-0.5930021856322057]]",0.095272,-0.308458,0.016706,0.127351
5,8,"[[-0.5921103817118143,-0.41894581706975104,-0.6884022692996912],[-0.07195866848830312,0.8783243783497825,-0.4725654391905733],[0.8027084467507754,-0.23032700920844879,-0.550146709225102]]",0.079284,-0.172714,0.05641,0.165034
6,14,"[[-0.5938088074157715,-0.41526046860257293,-0.6891719014019698],[-0.2189063157891275,0.9076048904680322,-0.35821416101200426],[0.7743284878234683,-0.06190064250370905,-0.6297636597132911]]",0.091622,-0.392014,0.012256,0.311387
7,36,"[[-0.5926278620510127,-0.42372039832819036,-0.685026719272714],[-0.6657471797088983,0.7364676578432473,0.1203696565542985],[0.45352690675689433,0.527348484071962,-0.7184193838189235]]",0.205841,-0.006945,0.004801,0.026159
8,28,"[[-0.5747363876568371,-0.45193894627807113,-0.6822298625142336],[-0.5510534869779495,0.8300991347177233,-0.08567385988166475],[0.6050891682412527,0.32666117907133,-0.7260147098571682]]",0.113051,1.209548,0.637807,-1.354384
9,44,"[[-0.5719877308249991,-0.4398566066155047,-0.6923614935639143],[-0.7738014927088881,0.56956394271174,0.27735646587661983],[0.2723520900329767,0.6943650575517883,-0.6660221113337466]]",0.065597,0.376168,0.981094,-1.036546
10,48,"[[-0.5912674496156229,-0.42578297386353176,-0.684923218882448],[-0.7869996904312909,0.4904419931224858,0.37441996013068046],[0.17648811271793782,0.7603917766245106,-0.6249532766578498]]",0.186474,0.075669,-0.013682,0.011392
11,39,"[[-0.5919657719466233,-0.4237447569798398,-0.685583870651974],[-0.7057987361674473,0.6833569702424617,0.18700036547487792],[0.3892793422878502,0.5945448754561015,-0.7034788786729539]]",0.155376,-0.025421,0.038204,0.024929
12,50,"[[-0.5253709213673026,-0.45927497243623544,-0.7162820860970393],[-0.8414591908287755,0.40574178495445484,0.3569410019248471],[0.12667377934833887,0.7902270090839993,-0.5995086973306093]]",0.19505,0.51694,3.629907,-2.767612
13,29,"[[-0.6004460953391664,-0.41107736990421956,-0.6859214317511668],[-0.5419911213932423,0.8399270858779323,-0.028934779725566965],[0.5880674949737185,0.35434098490178817,-0.7270160111109684]]",0.093972,-0.516999,-0.280157,0.621231
14,42,"[[-0.6038315450464137,-0.4148610687257339,-0.6806511900746526],[-0.7297071464506386,0.6314879930550986,0.262392278941866],[0.32098012959775124,0.6550827455631716,-0.6839162109103645]]",0.045727,-0.235319,-0.595226,0.664068
15,22,"[[-0.5925564000033418,-0.4231128411902261,-0.685463814720013],[-0.4085811986449219,0.891245224496279,-0.1969159199939956],[0.6942996776722941,0.16333259208184384,-0.700885382097992]]",0.100063,0.009075,-0.007665,0.051633
16,38,"[[-0.5925892329775225,-0.42441170348781204,-0.6846320603010081],[-0.6931337229917208,0.7017705943189853,0.1648639807700346],[0.4105087127227474,0.572199965921671,-0.7099123994549627]]",0.080169,0.028043,-0.011636,0.01457
17,16,"[[-0.5921280662253002,-0.42355046829783655,-0.6855636008344679],[-0.27206950490736354,0.9058653140743337,-0.324626558057411],[0.7586015469930147,-0.005752369672737607,-0.651534303604858]]",0.1897,0.027499,-0.027798,0.009114
18,15,"[[-0.5902973597448343,-0.4235818220677206,-0.687121203993328],[-0.24844050678402022,0.9052764818817156,-0.34458943152674676],[0.7680756065727812,-0.03275439387708989,-0.639530677428424]]",0.102563,-0.018162,0.084133,-0.053102
19,2,"[[-0.5913497102880056,-0.4226866874555221,-0.6867673642435321],[0.07677929344111496,0.818255250040567,-0.5696368859295553],[0.8028226652233013,-0.3896336022311865,-0.4513770346963541]]",0.12595,0.021905,0.010723,-0.004488
20,41,"[[-0.601117119832987,-0.4165093827138553,-0.68204577947601],[-0.7215215447082777,0.6499284582490389,0.2389536191359126],[0.3437706765556896,0.6357145643031772,-0.6910802172510062]]",0.071102,-0.222784,-0.449363,0.511424
21,51,"[[-0.5901103799262192,-0.42614297241146176,-0.6856967560635155],[-0.8010523890963654,0.4152829007538634,0.43120626922696687],[0.10098829231268416,0.8037177792692661,-0.5863087278938423]]",0.133925,0.028973,0.021956,-0.06768
22,20,"[[-0.5833674214591931,-0.44533767870764335,-0.679238524500767],[-0.37913687960280573,0.8889024898996307,-0.25715410686604623],[0.7183677633047817,0.10746002250985817,-0.6873004533739475]]",0.104088,1.022581,0.130144,-0.942176
23,34,"[[-0.5900968514972319,-0.42718873872057267,-0.6850575561596732],[-0.6384785774276673,0.7663137118364188,0.07208362769981055],[0.49421118714951384,0.4798887030032084,-0.7248287704968304]]",0.083182,0.133544,0.108633,-0.160167
24,26,"[[-0.5933654668269976,-0.4200846101842407,-0.6866255337575738],[-0.4919703794979166,0.8644424531265281,-0.10372577402008908],[0.63717836964025,0.27620252131308604,-0.7194884252290261]]",0.07138,-0.227286,-0.034028,0.080282
25,13,"[[-0.59215781661119,-0.4231281372491111,-0.6857986238775928],[-0.19902723943968303,0.9014867912979891,-0.38430159996847246],[0.780929586979104,-0.09112757988383015,-0.6179557607562786]]",0.081818,0.032747,-0.020009,0.037475
26,35,"[[-0.5908861121508706,-0.4261613881438635,-0.6850171112060964],[-0.6528092644054071,0.7515354894741194,0.09552411839427016],[0.47413869257142566,0.5035880959339326,-0.7221519254677892]]",0.195622,0.099776,0.081269,-0.093581
