,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
1,1,"[[0.5814004893002255, 0.725376844997035, -0.36855791121103054], [-0.7670009360045192, 0.3376125424398371, -0.5456350788394089], [-0.271369029244669, 0.5999074987874771, 0.7526734100193804]]",0.11010751128196716,-0.011250813802083336,0.021742932982896094,-0.006206379538537381
1,12,"[[0.5784300944672264, 0.7291323179187005, -0.3658117690822339], [-0.607520059926596, 0.08586362662866379, -0.7896522670477142], [-0.5443309874945095, 0.6789966447856303, 0.4926465626416173]]",0.03283676132559776,-0.00011776230396836539,-0.0048245619885556625,0.00020863010824018376
2,6,"[[0.578786143307569, 0.7274263739510927, -0.3686337311664613], [-0.709206189583542, 0.22595338828602765, -0.6678070266545705], [-0.40248141849972163, 0.6479496591788692, 0.646693718405823]]",0.06296616792678833,-0.025976326210872015,0.024867849878583356,0.01951212422462436
3,8,"[[0.5858504289527435, 0.7255703913474535, -0.3610544637606872], [-0.6737295033648828, 0.18852007266992207, -0.7145250001649709], [-0.4503622285867114, 0.6618542330169294, 0.5993020186448579]]",0.030086833983659744,-0.1906782399493132,0.17648298669450577,0.1985944496325982
4,19,"[[0.5711428253847101, 0.7292282897005576, -0.376902590311136], [-0.4631375881920856, -0.09275085662691913, -0.8814300702039526], [-0.6776852580194809, 0.6779865796315275, 0.28477348628734134]]",0.05119333788752556,-0.004876219170983946,0.06676483933862902,-0.011661292207171728
5,7,"[[0.5744861490145252, 0.7291163896939601, -0.372005862335446], [-0.6969476643705896, 0.1974882470469626, -0.6893897215970016], [-0.4291709631128093, 0.6553092942612186, 0.6216297266210996]]",0.1140437126159668,0.11569199832748661,-0.10989166654079915,-0.14554846464160154
6,14,"[[0.5770289010606051, 0.7296307491655731, -0.3670288519186573], [-0.5689366634418246, 0.03675380284921294, -0.8215643536169793], [-0.5859239374619712, 0.6828843396687913, 0.4363388068601169]]",0.09806396067142487,-0.001941273034647163,-0.033216470814409316,0.0015760657709228227
7,16,"[[0.57174747413945, 0.7296475381567554, -0.37517048483818705], [-0.5313955645822472, -0.018986927553282337, -0.8469179778693569], [-0.625045155461096, 0.6835908841797932, 0.37689176495682747]]",0.040899936109781265,-0.18069372646157156,0.21413147425300705,0.1175051259455836
8,24,"[[0.575883173417156, 0.7304244664091983, -0.3672495966711826], [-0.33396890662348766, -0.19977858029057022, -0.9211850285527787], [-0.7461778531416127, 0.653155056505536, 0.12890179048786088]]",0.050256144255399704,-0.15411285683090004,-0.03520471717940292,0.1456121625749907
9,20,"[[0.5825352324752603, 0.7322529590178011, -0.35283410683132754], [-0.4238956645951186, -0.09662443200386352, -0.9005533993141338], [-0.693486794603157, 0.6741755991119387, 0.2541264257166494]]",0.030620040372014046,-0.6752556266716638,0.6657191567111511,0.2065895572981175
10,26,"[[0.5747008026808047, 0.7311802078746642, -0.3675977283512132], [-0.274684973149209, -0.2507216200463035, -0.9282883841126263], [-0.7708602999961226, 0.6344736290660945, 0.05676510408713771]]",0.03657172620296478,0.0014141318238811728,0.0014943063994984575,-0.0017612033420138888
12,9,"[[0.5776216627164317, 0.7283236756202244, -0.36868863606615115], [-0.6612791260777386, 0.15276064864729824, -0.734420082790811], [-0.47856185963686015, 0.668020578527551, 0.5698820738068355]]",0.02916475385427475,0.07065576873782567,0.18503086912452793,-0.07774635018675563
13,0,"[[0.5831305343096072, 0.7241416359670538, -0.36825346920699853], [-0.7748893956197759, 0.3597915226258134, -0.5196983526629176], [-0.24385102566459635, 0.5883976353940352, 0.7709557793680022]]",0.11765772104263306,-0.004909131732123416,0.043904037917895905,0.0019623827019530416
14,13,"[[0.5794250360705945, 0.7297882726300121, -0.3629177239580437], [-0.5899276399371093, 0.06836439426903987, -0.8045604214011267], [-0.5623255331987811, 0.6802783680695785, 0.47015182426963803]]",0.04826127737760544,0.011703998685884228,-0.04252859623841908,0.09455770911462108
15,28,"[[0.5761012483906723, 0.7325521208490032, -0.36264078424711393], [-0.21753492898860474, -0.29019790612160357, -0.9319334049182179], [-0.7878733949699578, 0.6157884440812513, -0.007818001639720941]]",0.05565372481942177,-0.01008598794552509,0.005572261278894205,0.0007829134961380383
16,18,"[[0.5890510925589819, 0.7323983231780546, -0.34153345775880767], [-0.46714041720053207, -0.0361811879382631, -0.8834516203004547], [-0.6593615108366511, 0.6799468110992084, 0.32083621376527427]]",0.08891002833843231,-0.9859139632871821,0.9909936926971179,0.4756035882446892
17,2,"[[0.5590079106057768, 0.7344702040129226, -0.3848334793237433], [-0.7738650548293421, 0.2955835324231636, -0.5601375638799082], [-0.29765858261674394, 0.6109221240513365, 0.7336349979077643]]",0.06410937011241913,0.43389081984865585,-1.0124957544182904,-1.1378450216018114
18,11,"[[0.5655170209563257, 0.7308229345933349, -0.3822589123832336], [-0.6428442119822165, 0.10031682250070063, -0.7594010395661095], [-0.5166227219657492, 0.675186542206979, 0.5265541056987795]]",0.02333596721291542,0.002808293071934364,0.004690082805736351,-0.004135128972777552
19,21,"[[0.5756775874882728, 0.7305853590745015, -0.36725191272249036], [-0.41017443057153447, -0.13045812719441494, -0.9026405531864699], [-0.707326182403715, 0.6702750336127022, 0.224579230100522]]",0.050303880125284195,5.916068932053289e-05,-0.0019677997852804415,-0.005666768668725839
20,22,"[[0.5635647910249911, 0.7255898282770199, -0.3949022026699362], [-0.40093451332983476, -0.17765059611764134, -0.898730352164142], [-0.722221168022895, 0.6648318562442984, 0.19080842294751324]]",0.04696108400821686,0.2857072359640356,-0.22484815022833887,-0.08460183881109769
21,10,"[[0.5496063788409364, 0.7331826021272553, -0.4005116826673337], [-0.6689781344297429, 0.09916356656073518, -0.7366377761260361], [-0.5003581762466548, 0.6727934983411201, 0.5450022744936819]]",0.07399432361125946,1.213475918984023,-1.4687488304370144,-1.2335790927635633
22,30,"[[0.5740954049475407, 0.7288838219674614, -0.3730636103783795], [-0.17164422904840873, -0.33831985203682335, -0.9252660929626799], [-0.8005689717654525, 0.5952400014116448, -0.06911144447445086]]",0.05400926247239113,0.19568350926296613,-0.13510705103964177,0.011380892416386018
23,27,"[[0.5750626234259296, 0.7310779870039459, -0.3672350059963198], [-0.251727220665106, -0.26893003327586207, -0.9297012530552253], [-0.7783922664011041, 0.6270920633590993, 0.029390595003852247]]",0.03867027536034584,-0.04430180792057612,0.04439217075933907,0.009324634974952773
24,29,"[[0.5750614533618363, 0.7300385168966718, -0.3692989297878303], [-0.1972430923969126, -0.3143169987762393, -0.9286214477745561], [-0.7939506295490691, 0.6068701047034346, -0.03674792314231895]]",0.04492984712123871,0.023943970419966175,0.02689272312428801,0.0009956513822366238
25,4,"[[0.5797350411644234, 0.7271413732838061, -0.3677036635725476], [-0.73458896463765, 0.27126018943435537, -0.621923913131281], [-0.3524833998904205, 0.6306553273329983, 0.6914292402456745]]",0.11560584604740143,0.006391812306798457,0.08050524856068372,-0.0009365330456041826
26,25,"[[0.5749532130172483, 0.7303759708106665, -0.36879987170708295], [-0.3079281583508639, -0.22439057153533584, -0.9245862095746481], [-0.7580020411276253, 0.6451686791477877, 0.09590044271299829]]",0.02341824397444725,0.01901381374965732,0.033669313353966945,-0.03212916684781826
27,3,"[[0.5747756013895433, 0.7286109350951271, -0.37254843018297845], [-0.7513178620564919, 0.2895530597870793, -0.5930194141184149], [-0.3242104216788059, 0.6207477596577812, 0.7138668120549557]]",0.047402750700712204,-0.04502602501273472,-0.07437020457414055,0.03871849777414816
0,42,"[[0.5729908163030423, 0.7358767884555494, -0.36083307618383287], [0.18079952021799925, -0.5428942209457056, -0.8201379791990698], [-0.7993444055368448, 0.4047149820667106, -0.4441199378030077]]",0.03954983875155449,0.0,0.0,0.0
1,48,"[[0.5749266937047625, 0.7292329579584274, -0.3710960444865655], [0.33441991074823185, -0.6233470699394784, -0.7068575210141368], [-0.7467131014404232, 0.28231280518250407, -0.602254341476565]]",0.04185936972498894,0.0026160907463813983,-0.0004943155443207776,0.0003252798009508529
2,46,"[[0.5738591194427699, 0.7317190413544958, -0.36784047424580724], [0.28663852211643914, -0.6001822681694022, -0.7467710596946912], [-0.7671259546526465, 0.32312729203658663, -0.5541626153360409]]",0.03220510110259056,-0.007693075631915963,0.0015293447636831998,-0.0010364043943827785
3,56,"[[0.5729080491945785, 0.7342534078505984, -0.3642553738925132], [0.5357785804909594, -0.6718089338467236, -0.5115158113764632], [-0.6202224755637905, 0.09791625475748825, -0.7782924950189508]]",0.054429467767477036,-0.10138972508415459,0.01428864552449317,-0.13603443192320838
4,43,"[[0.5747652794796615, 0.7313341831174536, -0.3671904335869955], [0.20367682612893268, -0.5624130670580553, -0.8014087913549072], [-0.7925394242685535, 0.3858557763077796, -0.47221282005289056]]",0.04927699267864227,0.0028655004072545417,-0.0014972904993921711,0.010454585238127593
5,50,"[[0.5807356683390521, 0.7191681285999239, -0.3815455488651812], [0.3804683264463825, -0.6540861235682869, -0.6538033545259527], [-0.7196857205663305, 0.2345441008093539, -0.6534790978399184]]",0.04110296815633774,0.8040669340132287,-0.2539153822557985,0.7780568841627309
6,58,"[[0.5745919922443029, 0.7311188195758673, -0.36788995171931455], [0.5730523522966876, -0.6803146237744488, -0.4569612715724136], [-0.5843055455939379, 0.0517707033727286, -0.809884735629698]]",0.0924181193113327,-0.02735878806763708,-0.059664077042565496,0.08230265086090807
7,51,"[[0.5740724447660396, 0.734217283360784, -0.3624907356203548], [0.42092452244627754, -0.6443410694839914, -0.6385056702780917], [-0.7022975380769946, 0.213991748142323, -0.6789553521598004]]",0.08144669234752655,-0.015488718850022865,0.02002177878753239,0.03218027215744552
8,52,"[[0.5734534257379412, 0.7320406656708591, -0.3678332878898327], [0.4415856462547639, -0.6543718891209069, -0.6138733742661374], [-0.6900082846229694, 0.18962239859827165, -0.6985184315209686]]",0.03951870650053024,0.03073206043325776,0.024746123766781612,-0.025698913471888823
