,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
0,49,"[[0.5734409810908916, 0.7316780746833481, -0.36857337896809816], [0.36499824803979347, -0.6309302160389688, -0.6846518283815908], [-0.7334165396208637, 0.25810273902700387, -0.6288683683405053]]",0.02227899059653282,0.029200786388269298,0.0023995150386869036,-0.02040312270726613
1,55,"[[0.5759365794026744, 0.7292450894712461, -0.36950280297243526], [0.5081339162904739, -0.6734030683861801, -0.5369957058410408], [-0.6403553119589183, 0.12154305496066597, -0.7584018002708649]]",0.08017068356275558,0.09219431460759003,-0.06134519453485894,0.21494352713065284
2,19,"[[0.5739219599367007, 0.7312851924928898, -0.3686043125281184], [-0.4566716315729351, -0.08775642074704736, -0.8853066966850159], [-0.6797226570519966, 0.6764343651998207, 0.28360660897892354]]",0.06021330505609512,0.06720445688974239,0.12042985320403526,-0.18526318759171118
3,53,"[[0.5771660769549826, 0.7268209248297096, -0.37234974907675805], [0.45731968289476177, -0.6654167614576588, -0.5900158551432267], [-0.6765321073246444, 0.17027833824782576, -0.716454609655697]]",0.07040677219629288,0.15340637309719163,-0.26361025341242184,0.4186754081750783
4,33,"[[0.5753391456857038, 0.734388948438531, -0.36012687134081933], [-0.0798553770800596, -0.3877127229594794, -0.9183384683632049], [-0.8139817738561237, 0.5571309209328119, -0.16441520372214763]]",0.06315801292657852,-0.47732761345530017,0.22157922403710917,-0.05877849259738402
5,48,"[[0.5704225184231718, 0.7366121500342812, -0.36339286624575073], [0.3457286954930673, -0.6166407338755646, -0.7072988588703549], [-0.7450156419698117, 0.27784804349476694, -0.6064185234692296]]",0.03292468190193176,-0.18173349108712689,0.2406052748223633,-0.3796835029114416
6,43,"[[0.5801837253572051, 0.7140374119998198, -0.3918814202082654], [0.19146850490065354, -0.5871954187657804, -0.7865049969149119], [-0.7916338210271214, 0.381305600170307, -0.4773995174244259]]",0.03832317516207695,1.6059807536288613,-0.3845279839285912,0.6868419594966959
7,2,"[[0.57262057844299, 0.7293642795068783, -0.37438823757440115], [-0.7629795886550644, 0.30712902910012874, -0.5687923566424351], [-0.2998763687730379, 0.6113443748073566, 0.7323790019237514]]",0.09745606780052185,0.21988828890322018,-0.2598679763117435,-0.4737505780446082
8,27,"[[0.5746013237269165, 0.7304528616806453, -0.3691957870916225], [-0.2523075313613452, -0.27097806111277156, -0.9289489632740316], [-0.7785450070263467, 0.6269387916220514, 0.028604317672834008]]",0.04934318736195564,0.05670538808490805,-0.002263298898991,-0.030504192480379527
9,24,"[[0.574925165341333, 0.7304264769770933, -0.3687435596690413], [-0.3298890718262781, -0.20542649169171473, -0.9214128962440336], [-0.7487273157208806, 0.6513982936520815, 0.1228668290032526]]",0.05011112615466118,0.17501782579351638,0.2004235451000835,-0.10979271159620507
10,11,"[[0.5709149184154919, 0.7306129015371173, -0.37455905122355604], [-0.6312335560735707, 0.09897479732331926, -0.7692530609827197], [-0.5249366054099873, 0.67561172287765, 0.5177117828173223]]",0.047295425087213516,0.3031945797070448,-0.14071463904387838,-0.3520364381997121
11,1,"[[0.5684337841215347, 0.7308344725699308, -0.37788495194349275], [-0.7761587169806045, 0.32411802891763347, -0.540846977702712], [-0.27279773671110635, 0.6007251484991274, 0.7515038989192554]]",0.07363168150186539,0.3303481953841887,-0.47686983900690827,-0.7685321988366565
12,36,"[[0.5739358061632926, 0.7287547289789919, -0.3735610532053645], [0.003964038296237726, -0.45859956608826175, -0.8886604427949378], [-0.8188651433794272, 0.5085719296653204, -0.2660919753672432]]",0.0662933960556984,0.4568106243123391,0.03558641310595349,-0.0511822584235955
13,16,"[[0.5710173183608258, 0.7297673693500683, -0.37604840856021143], [-0.5319508473102084, -0.01990927215800491, -0.8465481248233966], [-0.6252402429786006, 0.6834366779726649, 0.37684783607328504]]",0.058020707219839096,0.31019565875743926,-0.31520203816807246,-0.18291280651696318
14,42,"[[0.5730214419029536, 0.7357628600939616, -0.361016721287784], [0.18110580992550207, -0.5432728473042305, -0.8198196176996618], [-0.7992531225375573, 0.40441390000403027, -0.4445582730351013]]",0.09573167562484741,-0.33523704918275177,0.2593460988436138,-0.21361915347651067
