,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
0,76,"[[-0.27768622714819535, -0.08725052122181925, 0.9672214776104348], [0.9549563251190496, 0.16106780293364753, 0.2901906886784036], [-0.18016354818348787, 0.9946710063187394, 0.039112159810268735]]",0.025260822847485542,0.06876115579660581,-0.38723227821224615,-0.013927269883736642
1,35,"[[-0.28794280154764573, -0.08212417559680484, 0.9646664777884378], [0.5886537850836971, 0.7848079750779783, 0.2443798047805423], [-0.7694692971833099, 0.6326544523123403, -0.17596585297482722]]",0.025023257359862328,0.0025822976498173244,-0.003407322132574491,0.002231304460298903
2,87,"[[-0.4049103949359235, -0.08483223036855445, 0.9214612446458798], [0.9258080509404115, -0.031214329016022866, 0.4052594001921835], [-0.006720454459324479, 1.0073502792570457, 0.09123727040243858]]",0.04173810034990311,0.00023537443493213046,0.2127911668909608,0.030708284744714848
3,69,"[[-0.3306061311290771, -0.09008289556752615, 0.9501674821916719], [0.9027962935872175, 0.2977040584857164, 0.3439944692264972], [-0.3115219547141618, 0.962366992592372, -0.01621791552762248]]",0.016042940318584442,-0.0015424425115804921,0.004260670637872884,-0.0003569371889616118
4,27,"[[-0.3181809761400267, -0.13587037818159522, 0.9489680515997982], [0.4520465999730682, 0.8610582487303955, 0.2767044960194003], [-0.8460883832020537, 0.512702645296699, -0.21069216280666547]]",0.018094182014465332,0.1640252153245581,-0.08918960702063505,0.016246591588505978
5,6,"[[-0.293989034558264, -0.08805137434336087, 0.9623186521479314], [0.13662858635075556, 0.9930938034256456, 0.13416316248020363], [-0.9572839414313679, 0.17003761085474045, -0.277932126037765]]",0.017660243436694145,-0.0005751816933156151,-0.0003299247417266804,-0.00031824796560642405
6,59,"[[-0.28489786395058486, -0.08296664447798559, 0.9654954239880092], [0.8519342318571695, 0.45884980926606167, 0.29257428683501324], [-0.46320107839453983, 0.8974953878929897, -0.05894179754509955]]",0.07195576280355453,0.0007595486111111111,0.0018880208333333333,0.0012803819444444442
7,77,"[[-0.31573236545851224, -0.09347929722595485, 0.9548895773920834], [0.9417525353151044, 0.16430593715262554, 0.3289677878974064], [-0.18669933536049252, 0.9935481374928982, 0.036684799782660225]]",0.03128451853990555,0.0002818726381320196,-1.99102079917364e-05,5.13184054234718e-05
8,44,"[[-0.3263292206113474, -0.11162337833685389, 0.9493594730927352], [0.6866781675206267, 0.6709113171116491, 0.31680941423517767], [-0.6658706773539798, 0.7485015742992651, -0.14072808157370706]]",0.02588905394077301,-0.002711793249867075,0.004491008677861321,7.967727548450273e-05
9,70,"[[-0.2800081666472369, -0.06588078445332012, 0.968241302135865], [0.918461705326948, 0.30880571869884055, 0.2882274091192312], [-0.31559830304936226, 0.9608459858190028, -0.02495054389818198]]",0.01870623230934143,0.04891508804027426,-0.0046274720419071935,-0.01705790523634553
10,50,"[[-0.35035512780715333, -0.1344536503732768, 0.9377683374418231], [0.7372181246326792, 0.5895246344230023, 0.36183815336988545], [-0.5959232269075811, 0.8106353994362618, -0.10605144052385199]]",0.01474345475435257,-0.02754161813563155,0.05572855206111889,-0.03868894189359133
11,86,"[[-0.3590432677387164, -0.08802249551386512, 0.9399889430921026], [0.9441316289888018, -0.0012033118341418664, 0.3618264829166104], [-0.03151229183627775, 1.0075465225117628, 0.08370882657088353]]",0.05038958787918091,-9.497191333163865e-06,5.6781476583797705e-05,-7.087075827735579e-06
12,54,"[[-0.292134665088609, -0.08144634375745773, 0.9634568411167038], [0.8095438698010705, 0.5303367530492638, 0.2921020175838365], [-0.5298820964667532, 0.8573528394642896, -0.08773650115535674]]",0.0326363742351532,-0.004912160922473067,-6.281134693422833e-05,0.0008429361833455153
13,1,"[[-0.293095579059081, -0.07956433216573396, 0.9633321499471941], [0.053836844435079856, 1.0049677930448737, 0.10084837528719208], [-0.9657590530078974, 0.08140287474384382, -0.288276669240543]]",0.015983788296580315,-0.008082789914897831,0.0007330900089806722,-0.002372661517837146
14,55,"[[-0.30441960891454706, -0.08886160451992509, 0.9589905975618387], [0.8021929073902653, 0.5337058907463739, 0.30590639530162034], [-0.5341388498191212, 0.8544853288506691, -0.08988611786627222]]",0.033912912011146545,0.00020335563307327382,-0.0006394486150405809,0.00021145272193167977
15,53,"[[-0.26703897530320886, -0.055479274700380964, 0.972541650719816], [0.8216580199208587, 0.5295828726882065, 0.25761373026037737], [-0.5244767685883667, 0.8599486240506878, -0.09453313984272851]]",0.009531479328870773,0.0008789489613629794,-0.00453333068602902,-1.4466664513797971e-05
16,74,"[[-0.2537465163929191, -0.07912820007508908, 0.9744650708078377], [0.9510477518676731, 0.21555566009267527, 0.2666708906126835], [-0.2296622725079574, 0.9849864545689614, 0.021226491539168602]]",0.017569206655025482,-0.0017202082636249404,0.029774311705688165,-0.0355803239173749
17,47,"[[-0.3118871735749274, -0.09433857100966324, 0.9560644002022106], [0.7157351813821283, 0.6481679362795055, 0.299308876131064], [-0.6418138911828036, 0.7706093234804995, -0.13309084566576865]]",0.020679835230112076,-0.005886443850849722,0.019125374549943428,-0.043743232080609276
18,8,"[[-0.28693011000317487, -0.08884887428740952, 0.9643734486438428], [0.17595923697109536, 0.9853542276985368, 0.14473612170951622], [-0.9530121361074122, 0.2099363537142602, -0.26517182648581644]]",0.031342945992946625,0.04086932094846388,-0.21817170784164208,0.0012657627925442855
