,Rotation Index,Orientation Matrix,wR2,alpha,beta,omega
0,10,"[[-0.29351784363406563, -0.08820202126009809, 0.9624478024579106], [0.20937600717539875, 0.977198483269326, 0.15503434337040378], [-0.9441884683567, 0.24538106342652316, -0.26638534758468563]]",0.028290964663028717,0.008492179841148327,0.007068276174703002,-0.03074344513528706
1,52,"[[-0.29929160078759465, -0.09256859400929755, 0.9602549264644439], [0.7738065933024192, 0.5778722901962622, 0.2987143480215494], [-0.5772012843914893, 0.8248385619481668, -0.09998308215845245]]",0.031619057059288025,0.08783571612646787,-0.05706425463308315,-0.015491385124501031
2,78,"[[-0.3177698734387852, -0.09323009693006568, 0.9542378878128775], [0.9454088475155208, 0.1395489323513863, 0.32993942947569677], [-0.1632264919641072, 0.9973565708103014, 0.04426607196442524]]",0.017947306856513023,-0.006982006126435567,0.12335074254687664,0.16531226678362204
3,56,"[[-0.29845933793613627, -0.0974214182638871, 0.9600273807923674], [0.8169367362780642, 0.5098931984852466, 0.30750921962603983], [-0.5148079993989572, 0.8679867089573491, -0.07145280573204987]]",0.12006017565727234,-0.016953806443544592,0.02425226915555472,-0.0021880898992132887
4,31,"[[-0.29044353739239087, -0.07831511765108538, 0.9642339125580986], [0.5278202057273506, 0.831560249689187, 0.22837457071726305], [-0.8115166423709804, 0.5703457050547811, -0.1983961225049497]]",0.07479968667030334,0.020181630379556288,-0.014934044619688697,0.011768929211037511
5,96,"[[-0.2978795488209097, -0.08798344514010291, 0.961126690292287], [0.9563584327681666, -0.16855185596282596, 0.2820045957747471], [0.1346732623271029, 0.9933489161957885, 0.13423582495588882]]",0.03181910514831543,0.03758542007022238,0.04774342890478142,-0.08867287349211567
6,44,"[[-0.32625465090681716, -0.11157889778238674, 0.9493903308431134], [0.6867020648366032, 0.6709272632635004, 0.3167238350438838], [-0.6658827468613704, 0.7484939893140553, -0.14071131448760266]]",0.02570336125791073,-0.5191731277753747,0.5723039156831882,-0.11850060096577983
7,85,"[[-0.2719985313407251, -0.08209572676192164, 0.9692862291504118], [0.9723627658714613, 0.023250849336570064, 0.2761313006839826], [-0.04574749927683503, 1.0077849103842045, 0.07384716884503358]]",0.030939746648073196,-0.05223084445315896,0.027633805091663508,0.042417241482062454
8,48,"[[-0.30531924650649006, -0.09160749944932418, 0.9584451534973775], [0.7253896955060662, 0.6397703230135099, 0.2940804570007775], [-0.634114037981894, 0.7779210448336447, -0.1273717681191457]]",0.01871996372938156,-0.01287840175823107,0.007966615003571428,0.04545144296560542
9,16,"[[-0.2945229938163865, -0.09183022109066996, 0.9618002248550542], [0.2980766952931624, 0.9487222086865875, 0.18357332176384503], [-0.9197326457502064, 0.3381971783505152, -0.25009873191014675]]",0.026445558294653893,-0.21051659297954728,0.09510503269972044,-0.11742019887474772
10,43,"[[-0.30715109865362145, -0.10221224269045402, 0.9567907439774932], [0.6817645595820343, 0.6861231070995126, 0.29403714439769646], [-0.6799323193252925, 0.7359695097238954, -0.13953992910288582]]",0.05192836374044418,-0.4530901576815839,0.469243391909017,-0.0926017400464853
11,65,"[[-0.3263861136836598, -0.09859502563740953, 0.9507777497334965], [0.8773199971503199, 0.3686813475576372, 0.34110514432198014], [-0.3810536023125639, 0.936597737024296, -0.03286954968462709]]",0.01841958798468113,0.0046098300342370235,0.09082786301971779,-0.042929054189688905
12,4,"[[-0.29403562537297356, -0.08278621431662628, 0.9627682348703529], [0.10601444151832128, 0.9986841719958555, 0.11977456365389216], [-0.9611451098606989, 0.13671866666470375, -0.28286681150747195]]",0.06471617519855499,0.05656432420172418,0.002188194340784314,0.004057493876894715
13,60,"[[-0.2783788332908582, -0.07591651495921012, 0.9679777994716895], [0.8633810584717955, 0.4420919198437067, 0.28471244810905944], [-0.4456567639694858, 0.9064925762424423, -0.056415091112097006]]",0.04071372002363205,-0.018675754261926067,0.02858893122367104,-0.008206306953068412
14,55,"[[-0.3044299837320569, -0.08886613169457355, 0.9589868846361227], [0.8021875236092504, 0.5337077654942635, 0.3059172423840098], [-0.5341410001284319, 0.8544836766263084, -0.0898890463470608]]",0.03482060879468918,-0.051186486642348775,-0.012847582880453824,0.011417377740708997
15,38,"[[-0.2757505649522642, -0.06610882627519982, 0.9694467394329737], [0.6368746709830602, 0.7494574003840694, 0.23411580159201914], [-0.7347631394477645, 0.6759589079237599, -0.16295648120492204]]",0.04263591393828392,0.0,0.0,0.0
16,98,"[[-0.27552941544015896, -0.0917535896580236, 0.9674210341854484], [0.9571473464813575, -0.2046545858080044, 0.2541636095025498], [0.17178759948831984, 0.9861948405774784, 0.14404946951977088]]",0.011736002750694752,0.14784485867414907,0.5724397779512216,0.09902402753246484
17,3,"[[-0.29406924542018725, -0.08792829390805137, 0.9623034937359823], [0.08832671823193307, 1.000404153677374, 0.11989951027509121], [-0.9629166022902533, 0.11986211520967535, -0.28442294326449297]]",0.05103388801217079,0.2644460215257076,-0.024290289471708658,0.0191813407548969
18,7,"[[-0.30608818896128415, -0.1375342166316092, 0.9526979272715742], [0.13955752176347047, 0.9838038750210654, 0.18846179794450676], [-0.9530629127924939, 0.18960497862821044, -0.2798421923126843]]",0.013029633089900017,-0.06174430500710719,0.03407543013740653,0.0339780339274886
19,36,"[[-0.28324977663315937, -0.07592966074453057, 0.9665602191889872], [0.5993636480731653, 0.7784273371952861, 0.23865108296093704], [-0.762932964938762, 0.641259829625304, -0.17331556957862826]]",0.01662624627351761,0.007419038374748764,-0.004595640959799156,0.002212019698455272
20,72,"[[-0.33292673244813575, -0.11160430521469233, 0.9470700582345132], [0.919718394376122, 0.2287687857153745, 0.35187454061363455], [-0.25422327343470325, 0.978808134472493, 0.026995850246412656]]",0.01083738636225462,-0.08492397160301492,0.329791103472742,0.010037848868943147
21,84,"[[-0.3035632563588686, -0.08886927255234377, 0.9592647970457115], [0.961485367507569, 0.04374449789666862, 0.30965668434853705], [-0.06980270358143334, 1.0065170681775384, 0.07247401264844569]]",0.0187978595495224,-0.015477079084879398,0.03363118350890951,-0.022133295260227864
22,50,"[[-0.3495332504953875, -0.13376670199280824, 0.9381731879690247], [0.7379677417056899, 0.5891999762938375, 0.36083750809716736], [-0.5954786129667206, 0.8109868878043865, -0.10586142136256436]]",0.01611984334886074,-0.06012762510081357,0.07935836415141415,-0.014164465909496864
23,9,"[[-0.2842772284372122, -0.07511130967841287, 0.9663255259416673], [0.17938196785006183, 0.9866403353115025, 0.13106817542625], [-0.9531800758632557, 0.20931880224880536, -0.2650868026295237]]",0.03443313017487526,0.11094802139308521,-0.010468879298184396,0.02717145986705087
24,22,"[[-0.30277776873793477, -0.10807756981827094, 0.9575378800821565], [0.38610301410780967, 0.906759683851381, 0.22622395959641325], [-0.8835923916361232, 0.4346750425507546, -0.230902649967945]]",0.052545156329870224,0.007567041144898373,0.007257707874013178,0.00565265570953255
25,2,"[[-0.29333544075526463, -0.08533407753026898, 0.9627629594268751], [0.061084582874261474, 1.0036854637783466, 0.10905320168147986], [-0.965263741299548, 0.09069891582774751, -0.2872018283848511]]",0.01674504019320011,0.012212598262063584,-0.002546171486576346,-0.00027489268151620035
26,91,"[[-0.2501744292100999, -0.09010134803793281, 0.9744412848567066], [0.9779965733638625, -0.07636347446336583, 0.24517869532573225], [0.05075921107706158, 1.0044548953034698, 0.10735498381211153]]",0.04211858659982681,0.032369367910883615,0.6394172304031849,0.07179725810150489
27,0,"[[-0.2973797332434013, -0.011142492749511844, 0.9652357693683241], [0.06724036207026428, 1.008661694628706, 0.03379602261581594], [-0.9635653732554721, 0.07491154266541665, -0.2971919278167732]]",0.11312690377235413,0.026204438910897715,0.05594710512604491,-0.043571178298726324
